Date	ActualValue	ForecastValue	PreviousValue
2022.08.18	3.585	3.779	3.683
2022.07.19	3.803	4.099	2.995
2022.06.21	3.116	4.193	4.034
2022.05.31	4.127	4.342	2.978
2022.04.26	2.988	4.890	5.882
2022.03.17	5.954	4.688	3.066
2022.02.17	3.177	5.216	3.544
2022.01.27	3.693	5.615	6.099
2021.12.21	6.161	5.428	5.505
2021.11.18	5.651	5.353	5.010
2021.10.19	5.052	5.281	5.127
2021.09.21	5.056	5.088	5.303
2021.08.19	5.246	5.032	5.474
2021.07.20	5.530	4.710	4.847
2021.06.17	4.948	4.333	3.773
2021.05.27	3.837	4.253	5.732
2021.04.22	5.817	3.911	3.674
2021.03.18	3.699	3.761	4.976
2021.02.18	5.054	3.738	2.889
2021.01.28	2.881	3.626	4.476
2020.12.17	4.458	3.602	3.857
2020.11.19	3.861	3.398	3.053
2020.10.20	3.280	3.376	3.544
2020.09.17	3.583	3.719	3.341
2020.08.20	3.379	3.676	3.204
2020.07.21	3.216	3.824	2.709
2020.06.18	2.801	4.007	3.990
2020.05.26	4.043	3.680	3.962
2020.04.21	4.020	3.622	3.536
2020.03.19	3.573	3.543	4.775
2020.02.20	4.777	3.361	1.975
2020.01.28	1.964	3.337	3.951
2019.12.19	3.915	3.299	3.536
2019.11.19	3.497	3.360	4.052
2019.10.17	4.020	3.290	1.720
2019.09.19	1.588	3.383	3.686
2019.08.20	3.631	3.223	4.007
2019.07.18	4.095	3.013	3.398
2019.06.20	3.411	2.964	2.309
2019.05.28	2.294	3.045	3.246
2019.04.18	3.179	3.304	2.943
2019.03.19	3.126	3.370	3.043
2019.02.19	3.043	3.100	1.962
2019.01.29	1.898	3.100	4.746
2018.12.20	4.737	2.515	3.522
2018.11.20	3.749	2.473	2.230
2018.10.18	2.434	2.482	2.079
2018.09.20	2.134	3.102	2.215
2018.08.21	2.256	2.403	2.560
2018.07.19	2.591	2.757	2.815
2018.06.21	2.760	3.171	2.244
2018.05.29	2.290	2.639	1.694
2018.04.24	1.768	2.639	3.079
