Date	ActualValue	ForecastValue	PreviousValue
2022.08.08	2.2	2.2	2.2
2022.07.07	2.2	2.2	2.2
2022.06.08	2.2	2.2	2.2
2022.05.06	2.2	2.1	2.2
2022.04.07	2.2	2.1	2.3
2022.03.07	2.2	2.2	2.3
2022.02.07	2.3	2.2	2.4
2022.01.07	2.4	2.3	2.5
2021.12.07	2.5	2.6	2.7
2021.11.08	2.7	2.7	2.8
2021.10.07	2.8	2.8	2.9
2021.09.07	2.9	3.0	3.0
2021.08.09	3.0	2.8	3.1
2021.07.08	3.1	2.7	3.2
2021.06.07	3.0	3.4	3.2
2021.05.07	3.1	3.1	3.3
2021.04.09	3.3	3.6	3.4
2021.03.08	3.6	3.7	3.5
2021.02.08	3.5	3.3	3.5
2021.01.08	3.4	3.3	3.4
2020.12.08	3.4	3.4	3.4
2020.11.09	3.3	3.1	3.4
2020.10.08	3.3	3.4	3.4
2020.09.09	3.4	3.5	3.4
2020.08.10	3.3	3.1	3.3
2020.07.08	3.3	3.3	3.2
2020.06.09	3.4	2.8	3.1
2020.05.07	3.3	2.4	2.9
2020.04.07	2.8	2.3	2.6
2020.03.09	2.3	2.3	2.3
2020.02.10	2.3	2.3	2.3
2020.01.10	2.3	2.3	2.3
2019.12.09	2.3	2.3	2.3
2019.11.08	2.3	2.2	2.3
2019.10.08	2.3	2.3	2.3
2019.09.09	2.3	2.3	2.3
2019.08.09	2.3	2.4	2.3
2019.07.09	2.3	2.4	2.3
2019.06.07	2.4	2.3	2.4
2019.05.08	2.4	2.3	2.4
2019.04.09	2.4	2.3	2.4
2019.03.07	2.4	2.4	2.4
2019.02.08	2.4	2.4	2.4
2019.01.08	2.4	2.4	2.4
2018.12.10	2.4	2.5	2.5
2018.11.08	2.5	2.5	2.5
2018.10.08	2.5	2.5	2.6
2018.09.07	2.6	2.5	2.6
2018.08.09	2.6	2.6	2.6
2018.07.09	2.6	2.7	2.7
2018.06.07	2.6	2.8	2.7
2018.05.08	2.7	2.9	2.8
2018.04.09	2.9	3.0	2.9
2018.03.08	2.9	3.0	3.0
2018.02.09	3.0	3.0	3.0
2018.01.09	3.0	3.1	3.1
2017.12.07	3.0	3.1	3.1
2017.11.09	3.1		3.1
2017.10.10	3.1		3.2
2017.09.08	3.2		3.2
2017.08.08	3.2		3.2
2017.07.07	3.2		3.2
2017.06.08	3.2		3.2
2017.05.09	3.3		3.3
2017.04.07	3.3		3.3
2017.03.09	3.3		3.3
2017.02.09	3.3		3.3
2017.01.10	3.3		3.3
2016.12.09	3.3		3.3
2016.11.08	3.3		3.3
2016.10.10	3.3		3.4
2016.09.09	3.4		3.3
2016.08.09	3.3		3.3
2016.07.08	3.3		3.3
2016.06.09	3.5		3.5
2016.05.10	3.5		3.4
2016.04.08	3.5		3.4
2016.03.08	3.4		3.4
2016.02.09	3.4		3.4
2016.01.08	3.4		3.4
2015.12.09	3.4		3.4
2015.11.10	3.4		3.4
2015.10.08	3.4		3.3
2015.09.08	3.3		3.3
2015.08.07	3.3		3.3
2015.07.07	3.3		3.3
2015.06.09	3.3		3.3
2015.05.08	3.3		3.2
2015.04.10	3.2		3.2
2015.03.10	3.2		3.1
2015.02.10	3.2		3.2
2015.01.09	3.2		3.1
2014.12.09	3.2		3.2
2014.11.07	3.1		3.2
2014.10.08	3.2		3.2
2014.09.08	3.2		3.2
2014.08.08	3.2		3.2
2014.07.07	3.2		3.2
2014.06.10	3.2		3.2
2014.05.07	3.2		3.2
2014.04.08	3.2		3.2
2014.03.07	3.2		3.2
2014.02.10	3.2		3.2
2014.01.10	3.2		3.2
2013.12.09	3.2		3.2
2013.11.08	3.2		3.2
2013.10.08	3.2		3.2
2013.09.09	3.2		3.2
2013.08.08	3.2		3.2
2013.07.08	3.2		3.2
2013.06.10	3.2		3.1
2013.05.07	3.1		3.1
2013.04.09	3.1		3.1
2013.03.07	3.1		3.1
2013.02.08	3.1		3.1
2013.01.08	3.1		3.0
2012.12.06	3.0		3.0
2012.11.08	3.0		2.9
2012.10.08	2.9		2.9
2012.09.07	2.9		2.9
2012.08.07	2.9		2.9
2012.07.09	2.9		3.0
2012.06.07	2.9		3.2
2012.05.07	3.2		3.2
2012.04.10	3.2		3.4
2012.03.07	3.4		3.4
2012.02.08	3.4		3.3
2012.01.09	3.3		3.1
2011.12.07	3.1		2.9
2011.11.07	2.9		2.8
2011.10.07	2.8		2.8
2011.09.08	2.8		2.8
2011.08.08	2.8		3.0
2011.07.08	3.0		2.9
2011.06.08	2.9		3.1
2011.05.06	3.1		3.4
2011.04.08	3.4		3.6
2011.03.08	3.6		3.8
2011.02.08	3.8		3.8
2011.01.07	3.8		3.6
2010.12.07	3.6		3.5
2010.11.08	3.5		3.7
2010.10.08	3.7		3.8
2010.09.07	3.8		3.8
2010.08.06	3.8		3.9
2010.07.08	3.9		4.0
2010.06.08	4.0		4.0
2010.05.07	4.0		4.2
2010.04.08	4.2		4.4
2010.03.08	4.4		4.5
2010.02.08	4.5		4.4
2010.01.08	4.4		4.2
2009.12.09	4.2		4.0
2009.11.06	4.0		3.9
2009.10.07	3.9		3.8
2009.09.08	3.8		3.7
2009.08.07	3.7		3.6
2009.07.08	3.6		3.4
2009.06.08	3.4		3.5
2009.05.08	3.5		3.4
2009.04.09	3.4		3.4
2009.03.09	3.4		3.3
2009.02.06	3.3		3.0
2009.01.08	3.0		2.7
2008.12.09	2.7		2.5
2008.11.07	2.5		2.4
2008.10.10	2.4		2.4
2008.09.08	2.4		2.3
2008.08.08	2.3		2.3
2008.07.07	2.3		2.4
2008.06.09	2.4		2.6
2008.05.08	2.6		2.6
2008.04.07	2.6		2.7
2008.03.06	2.7		2.8
2008.02.07	2.8		2.8
2008.01.07	2.8		2.7
2007.12.06	2.7		2.6
2007.11.08	2.6		2.5
2007.10.08	2.5		2.6
2007.09.06	2.6		2.5
2007.08.08	2.5		2.5
2007.07.06	2.5		2.7
2007.06.07	2.7		
