Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	5.1	5.2	6.4
2022.07.19	6.2	6.1	6.8
2022.06.14	6.8	7.3	7.0
2022.05.17	7.0	5.5	5.6
2022.04.12	5.4	5.7	4.8
2022.03.15	4.8	4.9	4.6
2022.02.15	4.3	3.5	4.2
2022.01.18	4.2	4.1	4.9
2021.12.14	4.9	5.2	5.9
2021.11.16	5.8	6.3	7.2
2021.10.12	7.2	7.4	8.3
2021.09.14	8.3	8.5	8.8
2021.08.17	8.8	8.1	7.4
2021.07.15	7.3	6.4	5.7
2021.06.15	5.6	3.7	4.3
2021.05.18	4.0	3.9	4.5
2021.04.20	4.5	4.6	4.8
2021.03.23	4.8	4.8	4.7
2021.02.23	4.7	3.3	3.7
2021.01.26	3.6	3.0	2.8
2020.12.15	2.7	1.9	1.4
2020.11.10	1.3	0.6	0.1
2020.10.13	0.0	-0.4	-1.0
2020.09.15	-1.0	-0.7	-1.2
2020.08.11	-1.2	-0.8	-0.3
2020.07.16	-0.3	1.5	1.0
2020.06.16	1.0	2.6	2.3
2020.05.19	2.4	2.9	2.8
2020.04.21	2.8	3.0	3.1
2020.03.17	3.1	3.0	2.9
2020.02.18	2.9	3.2	3.2
2020.01.21	3.2	3.4	3.2
2019.12.17	3.2	3.7	3.7
2019.11.12	3.6	3.8	3.7
2019.10.15	3.8	3.7	3.9
2019.09.10	4.0	3.3	3.8
2019.08.13	3.7	3.0	3.5
2019.07.16	3.4	2.9	3.2
2019.06.11	3.1	3.0	3.3
2019.05.14	3.2	3.1	3.5
2019.04.16	3.5	3.1	3.5
2019.03.19	3.4	3.4	3.5
2019.02.19	3.4	3.3	3.4
2019.01.22	3.4	3.1	3.3
2018.12.11	3.3	2.8	3.1
2018.11.13	3.0	2.6	2.8
2018.10.16	2.7	2.5	2.6
2018.09.11	2.6	2.4	2.4
2018.08.14	2.4	2.5	2.5
2018.07.17	2.5	2.5	2.6
2018.06.12	2.5	2.7	2.6
