Date	ActualValue	ForecastValue	PreviousValue
2022.08.08	1.6	-8.4	-1.3
2022.07.11	-1.3	-6.4	-1.5
2022.06.06	-1.5	-3.5	-1.7
2022.05.09	-1.7	-1.6	-0.4
2022.04.11	-0.4	-1.3	2.7
2022.03.08	2.7	15.2	8.1
2022.02.08	8.1	5.6	0.6
2022.01.11	0.6	14.3	1.8
2021.12.07	1.8	12.2	-0.2
2021.11.09	-0.2	-2.1	-0.6
2021.10.11	-0.6	0.3	1.5
2021.09.06	1.5	29.1	4.7
2021.08.09	4.7	13.1	6.7
2021.07.12	6.7	24.0	18.5
2021.06.07	18.5	44.7	39.6
2021.05.10	39.6	14.8	20.3
2021.04.12	20.3	8.0	9.5
2021.03.09	9.5	7.0	7.1
2021.02.09	7.1	6.0	4.8
2021.01.12	4.8	7.9	7.7
2020.12.08	7.7	7.7	5.2
2020.11.10	5.2	8.4	6.1
2020.10.12	6.1	8.2	4.7
2020.09.07	4.7	5.7	4.3
2020.08.10	4.3	7.6	10.9
2020.07.13	10.9	4.9	7.9
2020.06.08	7.9	-0.2	5.7
2020.05.12	5.7	-1.3	-3.5
2020.04.15	-3.5	1.1	-0.4
2020.03.10	-0.4	-0.2	0.0
2020.02.11	0.0	-1.0	1.7
2020.01.09	1.7	2.0	-4.9
2019.12.03	-4.9	-1.7	0.1
2019.11.05	0.1	0.5	-1.7
2019.10.07	-1.7	0.0	-0.5
2019.09.02	-0.5	0.0	0.1
2019.08.05	0.1	0.1	-1.6
2019.07.08	-1.6	0.8	-3.0
2019.06.03	-3.0	0.2	3.7
2019.05.07	3.7	0.0	-1.1
2019.04.08	-1.1	0.3	-0.1
2019.03.05	-0.1	0.2	1.8
2019.02.05	1.8	0.2	-0.7
2019.01.10	-0.7	0.3	-0.5
2018.12.04	-0.5	0.1	0.1
2018.11.06	0.1	0.3	-0.2
2018.10.08	-0.2	0.3	0.2
2018.09.03	0.2	0.3	0.5
2018.08.06	0.5	0.4	1.1
2018.07.09	1.1	0.4	2.8
2018.06.04	2.8	0.6	-4.2
2018.05.08	-4.2	0.8	1.4
2018.04.09	1.4	0.7	0.6
2018.03.06	0.6	0.4	0.6
2018.02.06	0.6	0.6	0.6
2018.01.09	0.6	0.4	0.6
2017.12.05	0.6	0.4	-1.0
2017.11.07	-1.0	0.2	1.9
2017.10.09	1.9	0.2	1.3
2017.09.04	1.3	0.2	0.9
2017.08.07	0.9	0.1	1.2
2017.07.10	1.2	0.0	-0.4
2017.06.05	-0.4		5.6
2017.05.08	5.6		-1.0
2017.04.10	-1.0		-0.4
2017.03.07	-0.4		-0.6
2017.02.07	-0.6		1.0
2017.01.10	1.0		0.6
2016.12.06	0.6		1.7
2016.11.08	1.7		0.4
2016.10.10	0.4		-0.9
2016.09.05	-0.9		1.1
2016.08.08	1.1		-0.5
2016.07.11	-0.5		0.5
2016.06.06	0.5		-0.9
2016.05.09	-0.9		-0.7
2016.04.11	-0.7		0.1
2016.03.08	0.1		2.6
2016.02.09	2.6		0.1
