Date	ActualValue	ForecastValue	PreviousValue
2022.08.16	-10.6	-6.1	-26.8
2022.07.19	-20.1	-2.1	-34.7
2022.06.14	-19.7	2.5	-65.5
2022.05.17	-56.9	7.4	-81.6
2022.04.12	-46.9	12.5	-58.0
2022.03.15	-48.1	17.8	-67.3
2022.02.15	-31.9	23.2	-51.6
2022.01.18	-43.3	29.1	-95.1
2021.12.14	-49.7	34.9	-58.5
2021.11.16	-14.9	40.2	-85.9
2021.10.12	-51.1	47.3	-88.0
2021.09.14	-58.6	55.6	-48.9
2021.08.17	-7.8	64.4	-136.1
2021.07.15	-114.7	79.3	-151.4
2021.06.15	-92.6	94.7	-55.8
2021.05.18	-15.1	105.7	-19.4
2021.04.20	10.2	113.0	67.2
2021.03.23	86.5	116.5	-20.8
2021.02.23	-20.0	134.4	-20.4
2021.01.26	7.0	150.3	38.1
2020.12.15	64.3	165.3	-64.1
2020.11.10	-29.8	205.4	-40.2
2020.10.13	28.0	244.2	39.5
2020.09.15	73.7	310.6	69.9
2020.08.11	94.4	214.7	-68.5
2020.07.16	-28.1	553.4	566.4
2020.06.16	528.9	2446.2	1032.7
2020.05.19	856.5	9.4	5.4
2020.04.21	12.2	21.0	5.9
2020.03.17	17.3	21.4	-0.2
2020.02.18	5.5	21.7	2.6
2020.01.21	14.8	21.2	15.0
2019.12.17	28.8	20.2	26.4
2019.11.12	33.0	17.8	13.5
2019.10.15	21.1	16.6	16.3
2019.09.10	28.2	16.7	19.7
2019.08.13	27.9	15.1	31.4
2019.07.16	38.0	13.4	24.5
2019.06.11	23.2	4.2	19.1
2019.05.14	24.7	16.9	22.6
2019.04.16	28.3	14.7	26.8
2019.03.19	27.1	2.7	15.6
2019.02.19	14.2	2.4	20.3
2019.01.22	20.8	2.1	24.8
2018.12.11	21.9	1.8	23.2
2018.11.13	20.2	4.1	23.2
2018.10.16	18.6	50.0	14.2
2018.09.11	8.7	-38.2	10.2
2018.08.14	6.2	73.7	9.0
2018.07.17	7.8	-26.5	-3.0
2018.06.12	-7.7	29.5	28.2
2018.05.15	31.3	3.5	15.7
2018.04.17	11.6	1.1	15.1
2018.03.21	9.2	0.7	-1.5
2018.02.21	-7.1	7.3	6.2
2018.01.24	8.6	3.6	12.2
2017.12.13	6.0	1.4	6.5
2017.11.15	1.1	-0.6	2.6
2017.10.18	1.7	-3.5	-0.2
2017.09.13	-2.8	0.9	-2.9
2017.08.16	-4.2	6.6	3.4
2017.07.12	6.0	13.4	7.5
2017.06.14	7.3		22.0
2017.05.17	19.4		33.5
2017.04.12	25.5		-6.1
2017.03.15	-11.3		-41.4
2017.02.15	-42.4		-20.5
2017.01.18	-10.1		1.3
2016.12.14	2.4		13.3
2016.11.16	9.8		5.6
2016.10.19	0.7		7.1
2016.09.14	2.4		-3.6
2016.08.17	-8.6		0.9
2016.07.20	0.4		12.2
2016.06.15	-0.4		6.4
2016.05.18	-2.4		14.7
2016.04.20	6.7		-9.3
2016.03.16	-18.0		-28.4
2016.02.17	-14.8		-15.2
2016.01.20	-4.3		-2.2
2015.12.16	3.9		0.2
2015.11.11	3.3		0.5
2015.10.14	4.6		1.2
2015.09.16	1.2		-6.8
2015.08.12	-4.9		0.2
2015.07.15	7.0		-1.1
2015.06.17	-6.5		-7.8
2015.05.13	-12.6		-16.7
2015.04.17	-20.7		-31.0
2015.03.18	-29.1		-38.6
2015.02.18	-38.6		-35.8
2015.01.21	-35.8		-26.9
2014.12.17	-29.6		-20.4
2014.11.12	-25.1		-18.6
2014.10.15	-18.4		-37.2
2014.09.17	-33.2		-33.6
2014.08.13	-37.4		-36.3
2014.07.16	-39.5		-27.4
2014.06.11	-32.8		-25.1
2014.05.14	-28.4		-30.4
2014.04.16	-30.6		-34.6
2014.03.19	-34.6		-27.6
2014.02.19	-33.9		-24.0
2014.01.22	-24.0		-34.3
2013.12.18	-34.3		-41.7
2013.11.13	-42.8		-41.7
2013.10.16	-44.7		-32.6
2013.09.11	-41.6		-29.2
2013.08.14	-36.3		-21.2
2013.07.17	-29.4		-8.6
2013.06.12	-16.2		-7.3
2013.05.15	-11.8		-7.0
2013.04.17	-9.9		-1.5
2013.03.20	-5.3		-12.5
2013.02.20	-10.0		-12.1
2013.01.23	-12.1		-3.0
2012.12.12	-8.9		10.1
2012.11.14	6.0		-4.0
2012.10.17	0.8		-15.0
2012.09.12	-14.2		-5.9
2012.08.15	-13.6		6.1
2012.07.18	1.0		8.1
2012.06.20	6.9		-13.7
2012.05.16	-13.7		3.6
2012.04.18	-5.4		7.2
2012.03.14	4.5		7.0
2012.02.15	7.0		1.9
2012.01.18	1.9		0.2
2011.12.14	0.2		2.5
2011.11.16	2.5		13.4
2011.10.12	13.4		20.3
2011.09.14	19.1		37.1
2011.08.17	33.7		24.5
2011.07.13	31.3		19.6
2011.06.15	22.5		12.4
2011.05.18	16.9		6.4
2011.04.13	-8.5		-10.2
2011.03.16	-10.2		2.4
2011.02.16	1.5		-4.1
2011.01.19	-3.4		-1.2
