Date	ActualValue	ForecastValue	PreviousValue
2022.08.17	6.2	6.4	5.8
2022.07.20	5.8	6.5	5.9
2022.06.22	5.9	6.7	6.2
2022.05.18	6.2	6.0	5.7
2022.04.13	5.7	5.1	5.2
2022.03.23	5.2	4.5	4.4
2022.02.16	4.4	4.3	4.2
2022.01.19	4.2	4.0	4.0
2021.12.15	4.0	3.6	3.4
2021.11.17	3.4	3.3	2.9
2021.10.20	2.9	3.0	3.1
2021.09.15	3.1	2.0	1.8
2021.08.18	1.8	2.0	2.3
2021.07.14	2.3	1.6	2.0
2021.06.16	2.0	1.1	1.3
2021.05.19	1.3	1.1	1.1
2021.04.21	1.1	1.2	0.9
2021.03.24	0.9	1.4	1.4
2021.02.17	1.4	1.2	1.4
2021.01.20	1.4	1.2	1.1
2020.12.16	1.1	1.3	1.5
2020.11.18	1.5	1.2	1.3
2020.10.21	1.3	1.3	0.9
2020.09.16	0.9	1.4	1.8
2020.08.19	1.8	1.2	1.4
2020.07.15	1.4	1.3	1.2
2020.06.17	1.2	1.5	1.4
2020.05.20	1.4	1.6	1.6
2020.04.22	1.6	1.6	1.7
2020.03.25	1.7	1.5	1.6
2020.02.19	1.6	1.5	1.4
2020.01.15	1.4	1.6	1.7
2019.12.18	1.7	1.6	1.7
2019.11.13	1.7	1.6	1.7
2019.10.16	1.7	1.7	1.5
2019.09.18	1.5	1.8	1.9
2019.08.14	1.9	1.7	1.8
2019.07.17	1.8	1.7	1.7
2019.06.19	1.7	1.8	1.8
2019.05.22	1.8	1.8	1.8
2019.04.17	1.8	1.8	1.8
2019.03.20	1.8	2.0	1.9
2019.02.13	1.9	2.0	1.9
2019.01.16	1.9	2.0	1.8
2018.12.19	1.8	2.1	1.9
2018.11.14	1.9	1.9	1.9
2018.10.17	1.9	1.8	2.1
2018.09.19	2.1	1.7	1.9
2018.08.15	1.9	1.9	1.9
2018.07.18	1.9	2.1	2.1
2018.06.13	2.1	2.2	2.1
