Date	ActualValue	ForecastValue	PreviousValue
2022.08.12	-0.4	0.9	0.0
2022.07.13	0.1	-0.6	0.2
2022.06.13	0.0	0.4	0.4
2022.05.12	0.4	2.0	0.6
2022.04.11	0.8	0.9	1.4
2022.03.11	1.0	1.2	1.2
2022.02.11	1.2	2.5	1.3
2022.01.14	1.3	0.5	1.2
2021.12.10	1.1	-0.6	1.6
2021.11.11	1.6	3.7	3.5
2021.10.13	3.7	1.2	5.2
2021.09.10	4.5	5.3	5.7
2021.08.12	5.7	5.5	3.9
2021.07.09	3.9	7.3	1.4
2021.06.11	1.4	-7.5	-2.0
2021.05.12	-2.0	3.6	-2.1
2021.04.13	-1.9	-7.4	-1.9
2021.03.12	-2.4	-4.4	0.6
2021.02.12	0.6	8.7	4.1
2021.01.15	3.7	7.5	10.0
2020.12.10	9.7	10.0	14.2
2020.11.12	14.2	11.2	6.9
2020.10.09	7.1	-4.0	-7.1
2020.09.11	-8.1	-19.2	-19.9
2020.08.12	-19.9	-19.2	-18.5
2020.07.14	-18.9	-10.2	-10.7
2020.06.12	-9.9	-2.0	-1.9
2020.05.13	-1.9	0.3	0.2
2020.04.09	0.2	0.1	0.0
2020.03.11	0.0	0.0	0.1
2020.02.11	0.1	0.0	0.0
2020.01.13	0.1	0.2	0.3
2019.12.10	0.2	0.5	0.4
2019.11.11	0.4	0.4	0.4
2019.10.10	0.4	0.1	0.3
2019.09.09	0.2	0.2	0.1
2019.08.09	0.1	0.3	0.2
2019.07.10	0.3	0.1	0.3
2019.06.10	0.2	0.3	0.3
2019.05.10	0.3	0.4	0.4
2019.04.10	0.4	0.5	0.5
2019.03.12	0.5	0.5	0.4
2019.02.11	0.4	0.3	0.4
2019.01.11	0.3	0.3	0.3
2018.12.10	0.3	0.2	0.4
2018.11.09	0.4	0.4	0.5
2018.10.10	0.5	0.6	0.7
2018.09.10	0.6	0.6	0.5
2018.08.10	0.5	0.4	0.4
2018.07.10	0.4	0.3	0.2
2018.06.29	0.2	0.1	0.3
2018.05.25	0.3	0.3	0.5
2018.04.27	0.4	0.6	0.6
2018.03.29	0.6	0.5	0.4
2018.02.22	0.6	0.5	0.4
2018.01.26	0.4	0.4	0.3
2017.12.22	0.3	0.5	0.4
2017.11.23	0.4	0.5	0.5
2017.10.25	0.4	0.5	0.5
2017.09.29	0.5	0.4	0.4
2017.08.24	0.5	0.3	0.3
2017.07.26	0.4	0.3	0.2
2017.06.30	0.2		0.2
2017.05.25	0.2		0.4
2017.04.28	0.5		0.6
2017.03.31	0.6		0.8
2017.02.22	0.8		1.0
2017.01.26	1.0		1.0
2016.12.23	1.0		0.8
2016.11.25	0.8		0.8
2016.10.27	0.8		0.6
2016.09.30	0.6		0.5
2016.08.26	0.5		0.3
2016.07.27	0.3		0.5
2016.06.30	0.5		0.6
2016.05.26	0.6		0.7
2016.04.27	0.7		0.9
2016.03.31	0.9		0.7
2016.02.25	0.7		0.6
2016.01.28	0.6		0.5
2015.12.23	0.5		0.7
2015.11.27	0.7		0.9
2015.10.27	0.9		0.8
2015.09.30	0.8		0.7
2015.08.28	0.7		0.4
2015.07.28	0.4		0.5
2015.06.30	0.5		0.4
2015.05.28	0.4		0.7
2015.04.28	0.7		0.8
2015.03.31	0.8		0.8
2015.02.26	0.8		0.8
2015.01.27	0.8		0.7
2014.12.23	0.7		0.8
2014.11.26	0.8		0.8
2014.10.24	0.8		1.0
2014.09.30	1.0		1.0
2014.08.15	1.0		1.0
2014.07.25	1.0		0.9
2014.06.27	0.9		0.9
2014.05.22	0.9		0.9
2014.04.29	0.9		0.9
2014.03.28	0.9		0.8
2014.02.26	0.8		0.8
2014.01.28	0.8		0.8
2013.12.20	0.8		0.7
2013.11.27	0.8		0.6
2013.10.25	0.6		0.5
2013.09.27	0.5		0.6
2013.08.23	0.6		0.7
2013.07.25	0.3		0.2
2013.06.28	0.2		0.6
2013.05.23	0.6		0.1
2013.04.25	0.1		-0.2
2013.03.28	-0.2		-0.1
2013.02.27	0.0		0.6
2013.01.25	0.6		1.1
2012.12.21	1.1		1.3
2012.11.27	1.3		0.2
2012.10.25	0.2		0.1
2012.09.28	0.1		-0.1
2012.08.24	-0.1		0.5
2012.07.25	0.5		0.0
2012.06.29	-0.1		0.1
2012.05.24	0.1		0.2
2012.04.25	0.1		0.2
2012.03.29	0.2		0.0
2012.02.24	-0.1		0.1
2012.01.25	0.2		0.2
2011.12.23	0.2		0.6
2011.11.24	0.7		0.4
2011.11.01	0.6		0.9
2011.10.06	0.8		0.5
2011.08.26	0.2		1.2
2011.07.26	1.2		0.9
2011.06.29	0.9		0.9
2011.05.25	0.9		-0.3
2011.04.27	-0.4		-0.5
2011.03.30	-0.6		-0.7
2011.02.25	-0.6		0.5
2011.01.25	0.3		0.5
2010.12.23	0.4		0.5
2010.11.24	0.6		0.3
2010.10.26	0.2		0.5
2010.09.29	0.4		0.7
2010.08.27	0.5		0.8
2010.07.23	0.8		0.6
2010.07.12	0.6		0.2
2010.05.25	0.2		0.4
2010.04.23	0.4		0.6
2010.04.07	0.6		0.5
2010.02.26	0.5		0.1
2010.01.26	0.1		0.1
2009.12.23	0.1		-0.1
2009.11.25	-0.1		-0.1
2009.10.23	-0.1		-0.2
2009.09.30	-0.3		-0.6
2009.08.28	-0.6		-1.0
2009.07.24	-1.0		-0.1
2009.07.01	-1.2		-1.2
2009.05.22	-1.2		-1.2
2009.04.24	-1.3		-1.3
2009.03.31	-1.3		-0.9
2009.02.25	-0.8		-0.4
2009.01.23	-0.5		-0.2
2008.12.23	-0.3		-0.4
2008.11.26	-0.5		-0.3
2008.10.24	-0.3		0.6
2008.10.01	-0.1		0.2
2008.08.29	0.2		0.4
2008.07.25	0.4		0.3
2008.06.30	0.3		0.5
2008.05.23	0.5		0.3
2008.04.25	0.3		0.6
2008.03.31	0.6		0.6
2008.01.23	0.6		0.6
2007.12.21	0.6		0.9
2007.11.21	0.8		0.9
2007.10.24	0.9		0.9
2007.09.27	0.9		
