Date	ActualValue	ForecastValue	PreviousValue
2022.08.17	22.6	24.8	24.1
2022.07.20	24.0	23.5	22.4
2022.06.22	22.1	19.9	20.9
2022.05.18	18.6	20.7	18.6
2022.04.13	19.2	13.4	15.1
2022.03.23	14.7	12.6	14.2
2022.02.16	13.6	14.2	13.8
2022.01.19	13.5	14.6	15.2
2021.12.15	14.3	11.0	13.7
2021.11.17	13.0	11.5	11.9
2021.10.20	11.4	13.6	11.2
2021.09.15	11.0	10.3	10.4
2021.08.18	9.9	6.3	9.7
2021.07.14	9.1	8.0	10.4
2021.06.16	10.7	11.3	10.0
2021.05.19	9.9	10.0	6.4
2021.04.21	5.9	6.2	3.3
2021.03.24	2.6	2.1	1.6
2021.02.17	1.3	-1.3	0.6
2021.01.20	0.2	0.0	-0.3
2020.12.16	-0.5	1.7	-1.2
2020.11.18	-1.3	-3.5	-2.2
2020.10.21	-3.7	-6.5	-5.6
2020.09.16	-5.8	-4.3	-5.7
2020.08.19	-5.7	-1.6	-6.7
2020.07.15	-6.4	-11.3	-9.4
2020.06.17	-10.0	-12.7	-10.2
2020.05.20	-9.8	-7.3	-3.1
2020.04.22	-2.9	-1.9	-0.2
2020.03.25	-0.5	3.6	1.6
2020.02.19	2.1	3.5	0.9
2020.01.15	-0.1	-3.1	-1.9
2019.12.18	-2.7	-8.3	-5.0
2019.11.13	-5.1	-3.8	-3.0
2019.10.16	-2.8	2.6	-0.9
2019.09.18	-0.8	2.7	0.9
2019.08.14	1.3	-2.4	0.3
2019.07.17	-0.3	1.3	1.4
2019.06.19	1.3	3.2	4.5
2019.05.22	3.8	3.6	3.2
2019.04.17	3.7	2.0	4.0
2019.03.20	3.7	-0.2	2.6
2019.02.13	2.9	-1.1	3.2
2019.01.16	3.7	3.5	5.3
2018.12.19	5.6	12.6	10.3
2018.11.14	10.0	10.0	10.5
2018.10.17	10.3	5.7	9.4
2018.09.19	8.7	9.3	10.3
2018.08.15	10.9	10.8	10.3
2018.07.18	10.2	10.7	9.6
2018.06.13	9.2	7.0	5.6
2018.05.23	5.3	4.5	4.4
2018.04.18	4.2	4.6	3.8
2018.03.20	3.4	5.2	4.5
2018.02.13	4.7	3.9	5.4
2018.01.16	4.9	6.0	7.3
2017.12.12	7.3	1.7	4.8
2017.11.14	4.6	9.6	8.1
2017.10.17	8.4	7.4	8.4
2017.09.12	7.6	0.4	6.2
2017.08.15	6.5	10.5	10.0
2017.07.18	9.9	10.0	12.1
2017.06.13	11.6		15.6
2017.05.16	16.6		17.4
2017.04.11	17.9		19.4
2017.03.21	19.1		20.1
2017.02.14	20.5		17.0
2017.01.17	15.8		13.3
2016.12.13	12.9		12.4
2016.11.15	12.2		7.3
2016.10.18	7.2		7.8
2016.09.13	7.6		4.1
2016.08.16	4.3		-0.5
2016.07.19	-0.5		-4.4
2016.06.14	-3.9		-7.0
2016.05.17	-6.5		-6.1
2016.04.12	-6.5		-8.2
2016.03.22	-8.1		-8.0
2016.02.16	-7.6		-10.4
2016.01.19	-10.8		-13.1
2015.12.15	-13.1		-12.3
2015.11.17	-12.1		-13.4
2015.10.13	-13.3		-14.6
2015.09.15	-13.8		-12.6
2015.08.18	-12.4		-13.1
2015.07.14	-12.6		-12.3
2015.06.16	-12.0		-11.0
2015.05.19	-11.7		-12.8
2015.04.14	-13.0		-13.5
2015.03.24	-13.5		-14.2
2015.02.17	-14.1		-11.6
2015.01.13	-11.6		-8.8
2014.12.16	-8.2		-8.4
2014.11.18	-8.4		-7.4
2014.10.14	-7.4		-7.2
2014.09.16	-7.7		-7.3
2014.08.19	-7.5		-4.4
2014.07.15	-4.5		-5.0
2014.06.17	-5.0		-5.5
2014.05.20	-5.3		-6.5
2014.04.15	-6.3		-5.7
2014.03.25	-5.8		-3.1
2014.02.18	-2.9		-1.2
2014.01.14	-1.0		-1.0
2013.12.17	-1.0		-0.3
2013.11.12	0.0		1.1
2013.10.15	0.9		2.8
2013.09.17	2.8		5.1
2013.08.13	5.1		4.2
2013.07.16	4.0		2.2
2013.06.18	1.8		-0.1
2013.05.21	-0.1		0.4
2013.04.16	0.4		2.5
2013.03.19	2.1		1.8
2013.02.12	1.9		0.3
2013.01.15	0.5		-0.3
2012.12.18	-0.1		0.1
2012.11.13	0.0		-1.2
2012.10.16	-1.0		1.4
2012.09.07	1.4		-2.4
2012.08.10	-2.4		-2.3
2012.07.06	-3.0		0.1
2012.06.08	0.0		1.2
2012.05.11	1.0		5.8
2012.04.13	5.6		7.3
2012.03.09	7.8		6.6
2012.02.10	6.6		8.7
2012.01.13	8.9		13.4
2011.12.09	13.6		14.3
2011.11.11	14.3		17.5
2011.10.07	17.7		16.2
2011.09.09	16.2		18.5
2011.08.05	18.3		17.0
2011.07.08	16.8		15.7
2011.06.10	16.1		17.6
2011.05.06	17.9		14.6
2011.04.08	14.8		14.6
2011.03.11	14.9		13.4
2011.02.11	14.1		12.5
2011.01.14	12.9		9.2
2010.12.13	9.2		8.0
2010.11.05	8.2		9.5
2010.10.08	8.7		8.1
2010.09.10	8.7		10.8
2010.08.06	10.8		10.7
2010.07.09	10.7		11.2
2010.06.11	11.5		13.1
2010.05.07	13.1		10.1
2010.04.09	10.3		6.9
2010.03.05	6.9		8.4
2010.02.05	8.4		6.9
2010.01.08	7.4		4.0
2009.12.11	4.0		0.1
2009.11.06	0.1		-6.5
2009.10.09	-6.5		-7.5
2009.09.11	-7.5		-12.2
2009.08.07	-12.2		-11.0
2009.07.10	-11.0		-9.4
2009.06.05	-9.4		-5.0
2009.05.08	-5.0		-0.4
2009.04.09	-0.4		0.5
2009.03.06	0.5		2.3
2009.02.06	2.3		4.3
2009.01.09	4.3		7.5
2008.12.08	7.5		13.8
2008.11.10	15.4		24.5
2008.10.13	24.5		26.2
2008.09.08	26.2		30.1
2008.08.11	30.1		30.0
2008.07.14	30.0		27.9
2008.06.09	27.9		23.3
2008.05.12	23.3		20.4
2008.04.14	20.1		19.3
2008.03.10	19.3		19.1
2008.02.11	19.1		11.3
2008.01.14	12.2		10.3
2007.12.10	10.9		8.6
2007.11.12	8.5		6.4
2007.10.08	6.5		0.6
2007.09.10	0.7		0.0
2007.08.13	-0.3		2.1
2007.07.09	2.1		1.2
2007.06.11	1.2		-0.3
2007.05.14	-0.3		0.7
2007.04.16	0.7		-1.1
2007.03.12	-1.1		-1.7
2007.02.12	-2.1		
