Date	ActualValue	ForecastValue	PreviousValue
2022.08.19	4.180	11.763	20.093
2022.07.21	22.115	-10.300	11.796
2022.06.23	13.226	5.419	21.132
2022.05.24	17.796	8.510	13.910
2022.04.26	17.319	15.048	9.850
2022.03.22	12.348	7.681	-7.833
2022.02.22	-3.650	14.985	14.574
2022.01.25	16.084	12.034	13.979
2021.12.21	16.620	12.034	11.627
2021.11.19	18.035	17.603	19.938
2021.10.21	21.014	27.152	16.060
2021.09.21	19.780	16.111	6.206
2021.08.20	9.619	18.698	20.734
2021.07.21	22.020	24.773	19.870
2021.06.22	23.605	18.493	28.332
2021.05.25	30.962	13.566	25.530
2021.04.23	27.271	22.064	15.312
2021.03.19	18.413	29.483	2.394
2021.02.19	8.016	35.191	26.110
2021.01.22	33.375	32.283	25.415
2020.12.22	30.837	33.268	20.939
2020.11.20	21.584	18.175	27.852
2020.10.21	35.367	23.343	29.379
2020.09.25	35.195	45.538	14.716
2020.08.21	25.944	29.300	28.782
2020.07.21	34.801	53.044	44.740
2020.06.19	54.499	6.165	47.774
2020.05.22	61.357	6.747	14.005
2020.04.23	2.325	2.800	0.065
2020.03.20	-0.394	-0.478	-12.433
2020.02.21	-10.538	-14.269	3.459
2020.01.22	4.040	1.686	4.195
2019.12.20	4.878	6.000	8.259
2019.11.21	10.509	11.739	7.256
2019.10.22	8.734	5.110	4.918
2019.09.24	5.766	6.685	-1.472
2019.08.21	-1.971	-6.430	5.672
2019.07.19	6.500	6.588	3.822
2019.06.21	4.463	1.180	6.150
2019.05.22	4.967	3.105	-0.958
2019.04.24	0.840	0.243	-0.514
2019.03.21	-0.664	-3.434	-14.148
2019.02.21	-15.759	-12.651	2.142
2019.01.22	2.112		6.252
2018.12.21	6.345	5.625	5.569
2018.11.21	7.956	8.347	1.981
2018.10.19	3.259	2.725	4.759
2018.09.21	5.889	3.780	-3.936
2018.08.21	-2.872	-5.559	3.313
2018.07.20	4.530	0.277	3.852
2018.06.21	3.356	9.733	5.268
2018.05.22	6.230	7.301	-0.811
2018.04.24	-0.262	7.749	-0.407
2018.03.21	-0.272	2.217	-11.719
2018.02.21	-11.620	-4.656	0.280
2018.01.23	0.979	4.539	6.645
2017.12.21	8.118	11.163	7.249
2017.11.21	7.464	5.831	4.432
2017.10.20	5.326	5.454	4.140
2017.09.21	5.093	5.454	-1.292
2017.08.22	-0.760	-8.548	5.673
2017.07.21	6.278	3.362	6.388
2017.06.21	5.993		8.675
2017.05.23	9.648		2.335
2017.04.25	4.365		-0.656
2017.03.21	1.100		-9.824
2017.02.21	-9.824		4.237
2017.01.24	6.421		12.210
2016.12.21	12.210		4.324
2016.11.22	4.301		9.240
2016.10.21	10.118		10.327
2016.09.21	10.051		-2.427
2016.08.19	-1.472		7.506
2016.07.21	7.310		9.412
2016.06.21	9.141		7.570
2016.05.24	6.582		6.114
2016.04.21	4.165		6.333
2016.03.22	6.485		-14.410
2016.02.19	-11.813		7.490
2016.01.22	6.871		12.945
2015.12.22	13.557		6.748
2015.11.20	7.470		8.330
2015.10.21	8.628		10.793
2015.09.22	11.305		-0.072
2015.08.22	-2.069		8.636
2015.07.21	8.584		8.352
2015.06.19	9.350		5.460
2015.05.22	6.038		6.060
2015.04.23	6.741		6.216
2015.03.20	4.801		-9.405
2015.02.20	-8.934		12.465
2015.01.22	9.867		13.414
2014.12.19	11.728		7.055
2014.11.21	6.429		11.069
2014.10.21	10.571		10.883
2014.09.23	10.883		-1.090
2014.08.21	-0.466		9.506
2014.07.22	9.506		11.477
2014.06.20	11.857		9.631
2014.05.22	9.000		4.861
2014.04.23	6.073		7.478
2014.03.21	7.001		-6.425
2014.02.21	-6.425		10.383
2014.01.22	9.028		14.799
2013.12.20	15.140		6.383
2013.11.21	7.422		9.368
2013.10.22	8.619		11.452
2013.09.20	10.808		-1.635
2013.08.21	-1.119		10.234
2013.07.19	10.483		10.535
2013.06.21	12.770		8.035
2013.05.22	6.623		16.747
2013.04.23	12.565		4.356
2013.03.21	7.196		-9.861
2013.02.21	-10.263		13.208
2013.01.22	12.416		15.328
2012.12.21	14.266		6.503
2012.11.21	6.003		10.732
2012.10.19	9.899		12.362
2012.09.21	10.753		-1.795
2012.08.21	-1.922		12.083
2012.07.20	12.203		15.580
2012.06.26	16.052		-18.813
2012.05.22	-19.930		15.870
2012.04.24	14.644		12.909
2012.03.21	9.938		-10.158
2012.02.21	-10.158		10.791
2012.01.24	11.105		15.231
2011.12.21	15.085		3.396
2011.11.22	3.000		11.380
2011.10.21	10.200		13.161
2011.09.21	10.930		-1.961
2011.08.19	-5.200		11.977
2011.07.21	12.374		15.156
