Date	ActualValue	ForecastValue	PreviousValue
2022.08.19	0.3	0.3	-0.2
2022.07.22	-0.1	-1.8	-0.8
2022.06.24	-0.5	-0.6	0.4
2022.05.20	1.4	-1.0	-1.2
2022.04.22	-1.4	0.1	-0.5
2022.03.25	-0.3	1.0	1.9
2022.02.18	1.9	1.0	-4.0
2022.01.21	-3.7	-1.0	1.0
2021.12.17	1.4	-0.9	1.1
2021.11.19	0.8	0.3	0.0
2021.10.22	-0.2	0.0	-0.6
2021.09.17	-0.9	-0.5	-2.8
2021.08.20	-2.5	-1.0	0.2
2021.07.23	0.5	0.4	-1.3
2021.06.18	-1.4	2.0	9.2
2021.05.21	9.2	0.5	5.1
2021.04.23	5.4	0.5	2.2
2021.03.26	2.1	0.5	-8.2
2021.02.19	-8.2	0.1	0.4
2021.01.22	0.3	0.0	-4.1
2020.12.18	-3.8	0.6	1.3
2020.11.20	1.2	-0.2	1.4
2020.10.23	1.5	-0.6	0.9
2020.09.18	0.8	-3.4	3.7
2020.08.21	3.6	7.0	13.9
2020.07.24	13.9	13.8	12.3
2020.06.19	12.0	-135.6	-18.0
2020.05.22	-18.1	3.9	-5.2
2020.04.24	-5.1	0.2	-0.3
2020.03.26	-0.3	-1.0	1.1
2020.02.20	0.9	0.6	-0.5
2020.01.17	-0.6	0.5	-0.8
2019.12.19	-0.6	-0.6	0.0
2019.11.14	-0.1	-0.2	0.0
2019.10.17	0.0	0.5	-0.3
2019.09.19	-0.2	0.3	0.4
2019.08.15	0.2	-1.4	0.9
2019.07.18	1.0	0.5	-0.6
2019.06.20	-0.5	0.7	-0.1
2019.05.24	0.0	-0.6	1.2
2019.04.18	1.1	-0.8	0.6
2019.03.21	0.4	0.4	0.9
2019.02.15	1.0	0.3	-0.7
2019.01.18	-0.9	-1.6	1.3
2018.12.20	1.4	0.9	-0.4
2018.11.15	-0.5	0.3	-0.4
2018.10.18	-0.8	-0.8	0.4
2018.09.20	0.3	0.4	0.9
2018.08.16	0.7	0.5	-0.5
2018.07.19	-0.5	0.2	1.4
2018.06.14	1.3	-0.1	1.8
2018.05.24	1.6	-0.1	-1.1
2018.04.19	-1.2	0.2	0.8
2018.03.22	0.8	-0.1	-0.2
2018.02.16	0.1	1.5	-1.4
2018.01.19	-1.5	0.3	1.0
2017.12.14	1.1	-0.6	0.5
2017.11.16	0.3	1.4	-0.7
2017.10.19	-0.8	0.3	0.9
2017.09.20	1.0	0.5	0.6
2017.08.17	0.3	0.6	0.3
2017.07.20	0.6	0.6	-1.1
2017.06.15	-1.2		2.5
2017.05.18	2.3		-1.4
2017.04.21	-1.8		1.7
2017.03.23	1.4		-0.5
2017.02.17	-0.3		-2.1
2017.01.20	-1.9		-0.1
2016.12.15	0.2		1.8
2016.11.17	1.9		0.1
2016.10.20	0.0		-0.2
2016.09.15	-0.2		1.9
2016.08.18	1.4		-0.9
2016.07.21	-0.9		0.9
2016.06.16	0.9		1.9
2016.05.19	1.3		-0.5
2016.04.21	-1.3		-0.5
2016.03.24	-0.4		2.3
2016.02.19	2.3		-1.4
2016.01.22	-1.0		1.3
2015.12.17	1.7		-0.5
2015.11.19	-0.6		1.7
2015.10.22	1.9		-0.4
2015.09.17	0.2		0.1
2015.08.20	0.1		-0.1
2015.07.23	-0.2		0.3
2015.06.18	0.2		0.9
2015.05.21	1.2		-0.7
2015.04.23	-0.5		0.7
2015.03.26	0.6		-0.3
2015.02.20	0.1		0.4
2015.01.23	0.4		1.6
2014.12.18	1.6		0.8
