Date	ActualValue	ForecastValue	PreviousValue
2022.08.19	-3.4	3.6	-6.1
2022.07.22	-5.8	4.0	-4.7
2022.06.24	-4.7	4.3	-5.7
2022.05.20	-4.9	4.5	1.3
2022.04.22	0.9	4.4	7.2
2022.03.25	7.0	3.9	9.4
2022.02.18	9.1	3.3	-1.7
2022.01.21	-0.9	4.2	4.3
2021.12.17	4.7	-6.9	-1.5
2021.11.19	-1.3	-16.2	-0.6
2021.10.22	-1.3	-14.9	-0.2
2021.09.17	0.0	7.3	1.9
2021.08.20	2.4	1.7	9.2
2021.07.23	9.7	33.4	24.6
2021.06.18	24.6	46.2	42.4
2021.05.21	42.4	1.8	7.2
2021.04.23	7.2	-4.8	-3.6
2021.03.26	-3.7	-1.5	-5.9
2021.02.19	-5.9	2.6	3.1
2021.01.22	2.9	4.1	2.1
2020.12.18	2.4	5.3	5.8
2020.11.20	5.8	3.8	4.6
2020.10.23	4.7	2.1	2.7
2020.09.18	2.8	-6.4	1.4
2020.08.21	1.4	-7.3	-1.6
2020.07.24	-1.6	-15.7	-12.9
2020.06.19	-13.1	-18.3	-22.7
2020.05.22	-22.6	-2.9	-5.8
2020.04.24	-5.8	0.2	0.0
2020.03.26	0.0	0.5	0.9
2020.02.20	0.8	1.0	0.9
2020.01.17	0.9	2.2	0.8
2019.12.19	1.0	2.0	3.1
2019.11.14	3.1	2.3	3.1
2019.10.17	3.1	3.0	2.6
2019.09.19	2.7	3.3	3.4
2019.08.15	3.3	4.0	3.8
2019.07.18	3.8	4.8	2.2
2019.06.20	2.3	5.3	5.1
2019.05.24	5.2	4.7	6.7
2019.04.18	6.7	3.7	4.0
2019.03.21	4.0	3.4	4.1
2019.02.15	4.2	2.9	3.1
2019.01.18	3.0	2.9	3.4
2018.12.20	3.6	2.9	2.4
2018.11.15	2.2	3.2	3.3
2018.10.18	3.0	3.3	3.4
2018.09.20	3.3	1.7	3.8
2018.08.16	3.5	2.6	2.9
2018.07.19	2.9	1.5	4.1
2018.06.14	3.9	1.6	1.4
2018.05.24	1.4	1.4	1.3
2018.04.19	1.1	1.1	1.5
2018.03.22	1.5	0.9	1.5
2018.02.16	1.6	0.9	1.5
2018.01.19	1.4	2.1	1.5
2017.12.14	1.6	2.4	0.0
2017.11.16	-0.3	2.7	1.3
2017.10.19	1.2	3.1	2.3
2017.09.20	2.4	3.5	1.4
2017.08.17	1.3	3.5	2.8
2017.07.20	2.9	3.5	0.9
2017.06.15	0.9		4.2
2017.05.18	4.0		2.0
2017.04.21	1.7		3.7
2017.03.23	3.7		1.0
2017.02.17	1.5		4.1
2017.01.20	4.3		5.7
2016.12.15	5.9		7.2
2016.11.17	7.4		4.2
2016.10.20	4.1		6.6
2016.09.15	6.2		6.3
2016.08.18	5.9		4.3
2016.07.21	4.3		5.7
2016.06.16	6.0		5.2
2016.05.19	4.3		3.0
2016.04.21	2.7		3.6
2016.03.24	3.8		5.4
2016.02.19	5.2		2.3
2016.01.22	2.6		4.5
2015.12.17	5.0		4.2
2015.11.19	3.8		6.2
2015.10.22	6.5		3.5
2015.09.17	3.7		4.1
2015.08.20	4.2		4.2
2015.07.23	4.0		4.7
2015.06.18	4.6		4.6
2015.05.21	4.7		4.0
2015.04.23	4.2		5.7
2015.03.26	5.4		5.4
2015.02.20	5.9		4.3
2015.01.23	4.3		6.4
2014.12.18	6.4		4.3
2014.11.20	4.6		2.7
2014.10.23	2.3		3.9
2014.09.18	3.7		2.6
2014.08.21	2.5		3.6
2014.07.24	3.4		3.9
2014.06.19	3.7		6.9
2014.05.21	6.5		4.2
2014.04.25	4.8		3.7
2014.03.27	3.3		4.3
2014.02.21	3.9		5.3
2014.01.17	5.3		2.0
2013.12.19	1.8		1.8
2013.11.14	1.8		2.2
2013.10.17	2.0		2.1
2013.09.19	2.1		3.0
2013.08.15	3.0		2.2
2013.07.18	2.2		1.9
2013.06.20	2.1		0.5
2013.05.22	0.8		-0.5
2013.04.18	-0.5		2.6
2013.03.21	2.5		-0.6
2013.02.15	-0.5		0.3
2013.01.18	0.1		0.9
2012.12.20	0.9		0.6
2012.11.15	0.8		2.5
2012.10.18	2.4		2.7
2012.09.20	2.5		2.8
2012.08.16	2.3		1.6
2012.07.19	2.6		2.4
2012.06.21	2.1		-1.1
2012.05.23	-1.1		3.3
2012.04.20	3.1		1.0
2012.03.22	1.0		2.0
2012.02.17	1.4		2.6
2012.01.20	2.5		0.7
2011.12.15	0.4		0.9
2011.11.17	1.1		0.6
2011.10.20	0.5		0.0
2011.09.15	-0.8		0.0
2011.08.18	0.2		0.4
2011.07.21	0.4		0.2
2011.06.16	0.0		2.8
2011.05.19	2.4		1.3
2011.04.21	1.1		1.3
2011.03.24	1.3		5.3
2011.02.18	5.1		0.0
2011.01.21	-0.7		1.1
2010.12.16	1.0		-0.1
2010.11.18	0.3		0.5
2010.10.21	0.0		0.4
2010.09.16	0.8		1.3
2010.08.19	1.0		1.3
2010.07.22	1.1		2.2
2010.06.17	1.7		1.8
2010.05.20	1.3		2.2
2010.04.22	1.8		3.5
2010.03.25	3.2		0.9
