Date	ActualValue	ForecastValue	PreviousValue
2022.08.10	63.0	69.6	65.0
2022.07.13	65.0	30.2	73.0
2022.06.08	73.0	63.3	80.0
2022.05.11	80.0	77.5	74.0
2022.04.13	74.0	77.7	79.0
2022.03.10	79.0	72.5	74.0
2022.02.10	74.0	21.7	69.0
2022.01.20	69.0	71.4	71.0
2021.12.09	71.0	69.9	71.0
2021.11.11	70.0	47.2	68.0
2021.10.13	68.0	-11.0	10.0
2021.09.08	10.0	75.7	79.0
2021.08.11	79.0	79.3	82.0
2021.07.07	83.0	82.6	82.0
2021.06.09	83.0	88.6	76.0
2021.05.12	75.0	71.8	59.0
2021.04.07	59.0	53.9	52.0
2021.03.11	52.0	35.9	49.0
2021.02.11	50.0	75.7	63.0
2021.01.14	65.0	56.5	66.0
2020.12.10	66.0	54.8	68.0
2020.11.12	68.0	80.3	61.0
2020.10.07	61.0	63.3	44.0
2020.09.09	44.0	17.5	12.0
2020.08.12	12.0	4.5	-15.0
2020.07.08	-15.0	-53.4	-32.0
2020.06.10	-32.0	-51.0	-22.0
2020.05.13	-21.0	6.3	9.0
2020.04.08	11.0	44.3	29.0
2020.03.12	29.0	33.1	18.0
2020.02.13	17.0	-0.6	-2.0
2020.01.16	-2.0	-17.0	-11.0
2019.12.12	-12.0	-5.6	-5.0
2019.11.14	-5.0	2.7	-2.0
2019.10.09	-2.0	-6.7	-4.0
2019.09.11	-4.0	11.2	-9.0
2019.08.07	-9.0	-2.5	-1.0
2019.07.10	-1.0	-15.0	-10.0
2019.06.12	-10.0	-15.0	-22.0
2019.05.08	-23.0	-34.6	-24.0
2019.04.10	-24.0	-34.6	-28.0
2019.03.14	-28.0	-25.7	-22.0
2019.02.14	-22.0	-20.1	-19.0
2019.01.17	-19.0	-11.7	-11.0
2018.12.13	-11.0	-13.1	-10.0
2018.11.08	-10.0	-13.1	-2.0
2018.10.10	-2.0	0.7	2.0
2018.09.12	2.0	12.1	4.0
2018.08.08	4.0	12.1	2.0
2018.07.11	2.0	-17.4	-3.0
2018.06.13	-3.0	-5.5	-8.0
2018.05.09	-8.0	-5.5	0.0
2018.04.11	0.0	5.5	0.0
2018.03.08	0.0	17.1	8.0
2018.02.08	8.0	5.6	8.0
2018.01.18	8.0	-10.8	0.0
2017.12.14	0.0	-3.2	1.0
2017.11.09	1.0	9.4	6.0
2017.10.11	6.0	-4.1	6.0
2017.09.13	6.0	2.9	1.0
