Date	ActualValue	ForecastValue	PreviousValue
2022.08.12	-12.290	-12.470	-9.603
2022.07.13	-10.367	-11.935	-11.408
2022.06.13	-10.988	-10.578	-13.804
2022.05.12	-13.804	-9.568	-13.142
2022.04.11	-12.138	-8.739	-11.639
2022.03.11	-13.650	-7.867	-7.876
2022.02.11	-7.876	-7.650	-7.230
2022.01.14	-5.665	-7.407	-6.832
2021.12.10	-8.618	-6.958	-9.103
2021.11.11	-9.103	-6.630	-7.438
2021.10.13	-8.395	-6.524	-8.106
2021.09.10	-6.990	-6.102	-7.095
2021.08.12	-7.095	-5.976	-5.238
2021.07.09	-4.196	-5.976	-5.658
2021.06.11	-5.549	-3.596	-6.548
2021.05.12	-6.548	-15.407	-5.140
2021.04.13	-10.728	-0.780	-4.457
2021.03.12	-1.756	-2.737	-5.200
2021.02.12	-5.200	-3.538	-5.876
2021.01.15	-8.012	-1.669	-5.816
2020.12.10	-4.544	-1.632	-1.654
2020.11.12	-1.654	-1.791	-0.214
2020.10.09	-2.308	-1.681	-1.360
2020.09.11	-2.363	-1.079	-1.155
2020.08.12	0.296	-2.651	2.160
2020.07.14	0.649	1.472	-0.938
2020.06.12	-2.658	-1.635	-4.422
2020.05.13	-4.880	-1.751	-3.871
2020.04.09	-5.573	-2.157	0.215
2020.03.11	2.232	-2.799	4.300
2020.02.11	6.721	-2.584	2.364
2020.01.13	1.734	-3.764	-2.587
2019.12.10	-5.729	-3.774	-2.952
2019.11.11	-4.032	-3.843	-3.233
2019.10.10	-2.206	-3.976	-2.540
2019.09.09	-1.932	-3.973	-1.771
2019.08.09	-0.186	-4.044	-4.069
2019.07.10	-4.905	-4.439	-5.255
2019.06.10	-4.595	-3.783	-6.217
2019.05.10	-4.361	-3.744	-6.217
2019.04.10	-5.841	-3.642	-6.558
2019.03.12	-4.977	-3.598	-4.369
2019.02.11	-3.642	-3.592	-4.184
2019.01.11	-3.925	-3.582	-4.318
2018.12.10	-4.251	-3.580	-2.946
2018.11.09	-2.343	-3.676	-4.561
2018.10.10	-4.219	-3.625	-3.142
2018.09.10	-2.800	-3.791	-2.856
2018.08.10	-2.940	-3.862	-3.627
2018.07.10	-3.491	-3.973	-4.335
2018.06.11	-5.372	-3.778	-3.788
2018.05.10	-3.639	-3.335	-2.354
2018.04.11	-2.237	-3.323	-4.037
2018.03.09	-3.868	-4.121	-3.891
2018.02.09	-5.178	-3.840	-4.507
2018.01.10	-4.675	-3.958	-3.374
2017.12.08	-2.382	-4.286	-2.993
2017.11.10	-2.982	-4.130	-4.186
2017.10.10	-5.835	-3.786	-5.345
2017.09.08	-3.842	-3.726	-3.934
2017.08.10	-4.471	-2.846	-3.493
2017.07.07	-3.796		-2.621
2017.06.09	-2.070		-3.890
2017.05.11	-4.674		-3.120
2017.04.07	-3.750		-3.760
2017.03.10	-2.447		-2.527
2017.02.10	-2.110		-2.970
2017.01.11	-3.577		-2.116
2016.12.09	-1.600		-5.270
2016.11.09	-3.969		-3.291
2016.10.07	-3.756		-2.224
2016.09.09	-4.190		-4.700
2016.08.09	-4.159		-3.560
2016.07.08	-2.570		-2.520
2016.06.09	-2.602		-2.863
2016.05.10	-3.110		-3.350
2016.04.08	-3.357		-4.362
2016.03.11	-2.200		-3.020
2016.02.09	-2.357		-3.538
2016.01.08	-2.450		-3.550
2015.12.10	-3.729		-1.717
2015.11.06	-2.080		-3.840
2015.10.09	-3.765		-4.782
2015.09.09	-3.461		-1.508
2015.08.07	-1.620		-1.341
2015.07.10	-1.570		-2.400
2015.06.09	-2.094		-3.429
2015.05.08	-3.163		-3.258
2015.04.09	-3.238		-1.745
2015.03.12	-1.968		-3.796
2015.02.06	-3.143		-2.649
2015.01.09	-2.778		-3.582
2014.12.10	-3.505		-4.048
2014.11.07	-4.060		-3.587
2014.10.10	-3.700		-4.345
2014.09.09	-4.755		-3.841
2014.08.08	-3.841		-3.961
2014.07.10	-4.079		-3.783
2014.06.06	-3.876		-3.190
2014.05.09	-3.418		-2.919
2014.04.09	-2.870		-3.990
2014.03.14	-3.910		-2.198
2014.02.07	-2.321		-3.023
2014.01.09	-3.048		-3.254
2013.12.10	-3.114		-3.845
2013.11.08	-3.892		-4.351
2013.10.09	-4.324		-4.528
2013.09.06	-4.781		-2.646
2013.08.09	-2.806		-4.093
2013.07.09	-4.019		-3.414
2013.06.07	-3.428		-3.470
2013.05.10	-3.469		-4.276
2013.04.09	-4.208		-3.280
2013.03.12	-3.380		-4.230
2013.02.07	-4.169		-4.519
2013.01.09	-4.618		-4.532
2012.12.06	-4.502		-3.972
2012.11.09	-3.943		-4.972
2012.10.09	-5.004		-2.877
2012.09.11	-2.929		-5.176
2012.08.09	-5.077		-3.865
2012.07.10	-3.879		-5.202
2012.06.15	-5.125		-4.109
2012.05.15	-4.179		-5.017
2012.04.12	-4.871		-3.678
2012.03.13	-3.717		-3.601
2012.02.09	-3.601		-5.021
2012.01.11	-5.037		-4.554
2011.12.09	-4.556		-5.715
2011.11.09	-5.712		-4.867
2011.10.13	-5.142		-5.505
2011.09.13	-4.651		-5.718
2011.08.09	-5.718		-5.109
2011.07.12	-5.053		-4.339
2011.06.09	-4.508		-4.479
2011.05.11	-4.495		-2.849
2011.04.12	-2.849		-4.173
2011.03.09	-4.210		-5.817
2011.02.09	-5.816		-4.123
2011.01.12	-4.888		-3.946
2010.12.09	-4.038		-4.550
2010.11.09	-3.800		-4.694
2010.10.12	-4.900		-4.800
2010.09.09	-4.706		-4.300
2010.08.10	-3.900		-4.490
2010.07.09	-4.490		-3.990
2010.06.09	-4.000		-4.040
2010.05.13	-3.200		-2.100
2010.04.13	-2.100		-3.800
2010.03.09	-3.900		-3.300
2010.02.09	-2.600		-2.900
2010.01.12	-2.900		-3.200
2009.12.09	-3.100		-3.500
2009.11.10	-3.100		-3.000
2009.10.09	-2.200		-2.450
2009.09.09	-2.450		-2.180
2009.08.11	-2.370		-2.170
2009.07.09	-1.910		-3.000
2009.06.10	-3.000		-2.500
2009.05.12	-2.500		-3.200
2009.04.09	-2.800		-3.585
2009.03.11	-3.100		-3.600
2009.02.10	-3.248		-4.500
2009.01.13	-4.000		-3.900
2008.12.09	-3.900		-3.900
2008.11.11	-3.900		-4.700
2008.10.09	-4.400		-4.600
2008.09.10	-4.800		-4.400
2008.08.11	-5.000		-4.200
2008.07.09	-4.100		-4.300
2008.06.11	-4.100		-4.000
2008.05.12	-3.800		-4.400
2008.04.10	-4.300		-4.100
2008.03.12	-5.000		-4.700
2008.02.11	-4.100		-4.371
2008.01.10	-4.400		-4.100
2007.12.11	-4.400		-5.100
2007.11.09	-4.700		-4.100
2007.10.09	-4.100		-4.400
2007.09.11	-4.600		-3.600
2007.08.09	-3.900		-3.511
2007.06.12	3.700		-4.529
2007.03.13	-4.529		-4894.000
