Date	ActualValue	ForecastValue	PreviousValue
2022.08.05	0.5	0.4	0.4
2022.07.08	0.3	0.4	0.4
2022.06.03	0.3	0.4	0.3
2022.05.06	0.3	0.4	0.5
2022.04.01	0.4	0.4	0.1
2022.03.04	0.0	0.4	0.6
2022.02.04	0.7	0.4	0.5
2022.01.07	0.6	0.4	0.4
2021.12.03	0.3	0.5	0.4
2021.11.05	0.4	0.5	0.6
2021.10.08	0.6	0.4	0.4
2021.09.03	0.6	0.4	0.4
2021.08.06	0.4	0.4	0.4
2021.07.02	0.3	0.4	0.4
2021.06.04	0.5	0.4	0.7
2021.05.07	0.7	0.4	-0.1
2021.04.02	-0.1	0.4	0.3
2021.03.05	0.2	0.4	0.1
2021.02.05	0.2	0.4	1.0
2021.01.08	0.8	0.4	0.3
2020.12.04	0.3	0.4	0.1
2020.11.06	0.1	0.4	0.0
2020.10.02	0.1	0.4	0.3
2020.09.04	0.4	0.2	0.1
2020.08.07	0.2	0.1	-1.3
2020.07.02	-1.2	17.9	-1.0
2020.06.05	-1.0	-8.8	4.7
2020.05.08	4.7	0.2	0.5
2020.04.03	0.4	0.1	0.3
2020.03.06	0.3	0.5	0.2
2020.02.07	0.2	0.5	0.1
2020.01.10	0.1	0.2	0.3
2019.12.06	0.2	0.4	0.4
2019.11.01	0.2	0.4	0.0
2019.10.04	0.0	-0.1	0.4
2019.09.06	0.4	0.1	0.3
2019.08.02	0.3	0.2	0.3
2019.07.05	0.2	0.3	0.3
2019.06.07	0.2	0.4	0.2
2019.05.03	0.2	0.3	0.2
2019.04.05	0.1	0.2	0.4
2019.03.08	0.4	0.5	0.1
2019.02.01	0.1	0.0	0.4
2019.01.04	0.4	0.4	0.2
2018.12.07	0.2	0.4	0.1
2018.11.02	0.2	0.2	0.3
2018.10.05	0.3	0.1	0.3
2018.09.07	0.4	0.1	0.3
2018.08.03	0.3	0.1	0.1
2018.07.06	0.2	0.3	0.3
2018.06.01	0.3	0.1	0.1
2018.05.04	0.1	0.2	0.2
2018.04.06	0.3	0.5	0.1
2018.03.09	0.1	0.2	0.3
2018.02.02	0.3	0.0	0.4
2018.01.05	0.3	0.3	0.1
2017.12.08	0.2	0.4	-0.1
2017.11.03	0.0	0.1	0.5
2017.10.06	0.5	0.4	0.2
2017.09.01	0.1	0.1	0.3
2017.08.04	0.3	0.3	0.2
2017.07.07	0.2	0.3	0.1
2017.06.02	0.2	0.1	0.2
2017.05.05	0.3	0.2	0.1
2017.04.07	0.2		0.3
2017.03.10	0.2		0.2
2017.02.03	0.1		0.2
2017.01.06	0.4		-0.1
2016.12.02	-0.1		0.4
2016.11.04	0.4		0.2
2016.10.07	0.2		0.1
2016.09.02	0.1		0.3
2016.08.05	0.3		0.1
2016.07.08	0.1		0.2
2016.06.03	0.2		0.4
2016.05.06	0.3		0.3
2016.04.01	0.3		-0.1
2016.03.04	-0.1		0.5
2016.02.05	0.5		0.0
2016.01.08	0.0		0.2
2015.12.04	0.2		0.4
2015.11.06	0.4		0.0
2015.10.02	0.0		0.4
2015.09.04	0.3		0.2
2015.08.07	0.2		0.0
2015.07.02	0.0		0.2
2015.06.05	0.3		0.1
2015.05.08	0.1		0.2
2015.04.03	0.3		0.1
2015.03.06	0.1		0.5
2015.02.06	0.5		-0.2
2015.01.09	-0.2		0.4
2014.12.05	0.2		0.1
2014.11.07	0.1		0.0
2014.10.03	0.0		0.2
2014.09.05	0.3		0.0
2014.08.01	0.1		0.2
2014.07.03	0.2		0.2
2014.06.06	0.2		0.0
2014.05.02	0.0		0.0
2014.04.04	0.1		0.4
2014.03.07	0.4		0.2
2014.02.07	0.2		0.1
2014.01.10	0.0		0.2
2013.12.06	0.2		0.1
2013.11.08	0.1		0.1
2013.10.22	0.1		0.2
2013.09.06	0.3		-0.1
2013.08.02	0.0		0.4
2013.07.05	0.4		0.1
2013.06.07	0.1		0.2
2013.05.03	0.2		0.0
2013.04.05	0.0		0.2
2013.03.08	0.1		0.2
2013.02.01	0.1		0.3
2013.01.04	0.3		0.2
2012.12.07	0.3		0.0
2012.11.02	0.0		0.3
2012.10.05	0.3		0.0
2012.09.07	0.0		0.1
2012.08.03	0.1		0.3
2012.07.06	0.3		0.1
2012.06.01	0.2		0.0
2012.05.04	0.1		0.2
2012.04.06	0.2		0.3
2012.03.09	0.3		0.2
2012.02.03	0.1		0.2
2012.01.06	0.1		-0.1
2011.12.02	0.0		0.3
2011.11.04	0.3		0.2
2011.10.07	0.3		-0.1
2011.09.02	-0.2		0.4
2011.08.05	0.5		0.0
2011.07.08	0.0		0.3
2011.06.03	0.3		0.1
2011.05.06	0.1		0.0
2011.04.01	0.0		0.0
2011.03.04	0.0		0.4
2011.02.04	0.4		0.1
2011.01.07	0.1		0.1
2010.12.03	0.1		0.2
2010.11.05	0.3		0.0
2010.10.08	0.0		0.3
2010.09.03	0.3		0.2
2010.08.06	0.2		-0.1
2010.07.02	-0.1		0.3
2010.06.04	0.2		0.0
2010.05.07	0.1		-0.1
2010.04.02	-0.1		0.1
2010.03.05	0.1		0.2
2010.02.05	0.2		0.2
2010.01.08	0.2		0.1
2009.12.04	0.2		0.3
2009.11.06	0.3		0.1
2009.10.02	0.1		0.3
2009.09.04	0.4		0.2
2009.08.07	0.3		0.0
2009.07.02	0.0		0.1
2009.06.05	0.2		0.1
2009.05.08	0.1		0.2
2009.04.03	0.2		0.2
2009.03.06	0.2		0.3
2009.02.06	0.3		0.3
2009.01.09	0.3		0.4
2008.12.05	0.4		0.2
2008.11.07	0.2		0.2
2008.10.03	0.2		0.4
2008.09.05	0.4		0.3
2008.08.01	0.3		0.6
2008.07.03	0.6		0.3
2008.06.06	0.3		0.1
2008.05.02	0.1		0.3
2008.04.04	0.3		0.3
2008.03.07	0.3		0.2
2008.02.01	0.2		0.4
2008.01.04	0.4		0.5
2007.12.07	0.5		0.2
2007.11.02	0.1		0.4
2007.10.05	0.3		0.3
2007.09.07	0.3		0.3
2007.08.03	0.3		0.3
2007.07.06	0.3		0.1
2007.06.01	0.1		0.0
2007.03.09	0.0		
