Date	ActualValue	ForecastValue	PreviousValue
2022.07.15	1.4	1.6	1.3
2022.06.15	1.2	1.8	2.4
2022.05.17	2.0	1.3	1.8
2022.04.14	1.5	1.6	1.3
2022.03.16	1.1	1.8	2.4
2022.02.16	2.1	1.3	1.5
2022.01.14	1.3	1.0	1.3
2021.12.15	1.2	0.7	0.8
2021.11.16	0.7	0.6	0.8
2021.10.15	0.6	0.7	0.5
2021.09.16	0.5	0.7	0.9
2021.08.17	0.8	0.2	0.6
2021.07.16	0.5	-0.3	0.1
2021.06.15	-0.2	0.4	0.2
2021.05.14	0.3	0.4	0.5
2021.04.15	0.5	0.5	0.4
2021.03.16	0.3	1.5	0.8
2021.02.17	0.6	0.2	0.5
2021.01.15	0.5	-0.2	0.8
2020.12.16	0.7	0.1	0.8
2020.11.17	0.7	1.0	0.3
2020.10.16	0.3	0.1	0.1
2020.09.16	0.1	-1.5	-1.1
2020.08.14	-1.1	-1.8	-2.3
2020.07.16	-2.3	-0.8	-1.4
2020.06.16	-1.3	0.0	-0.3
2020.05.15	-0.2	0.1	-0.5
2020.04.15	-0.4	0.1	-0.3
2020.03.17	-0.1	0.1	0.0
2020.02.14	0.1	0.2	-0.2
2020.01.16	-0.2	0.2	0.1
2019.12.13	0.2	0.2	-0.1
2019.11.15	0.0	0.3	-0.1
2019.10.16	0.0	0.3	0.3
2019.09.13	0.4	0.3	0.0
2019.08.15	0.0	0.3	0.3
2019.07.16	0.3	0.3	0.5
2019.06.14	0.5	0.3	0.0
2019.05.15	0.0	0.3	0.3
2019.04.18	0.3	0.3	0.9
2019.04.01	0.8	0.3	0.8
2019.03.11	0.6	0.3	0.0
2019.02.14	-0.1	0.3	0.6
2018.12.14	0.6	0.2	0.5
2018.11.15	0.3	0.2	0.5
2018.10.15	0.5	0.2	0.7
2018.09.14	0.6	0.2	0.1
2018.08.15	0.1	0.1	0.3
2018.07.16	0.4	0.1	0.3
2018.06.14	0.3	0.1	-0.1
2018.05.15	0.0	0.1	0.6
2018.04.16	0.6	0.1	0.6
2018.03.14	0.6	0.1	0.6
2018.02.14	0.4	0.1	0.4
2018.01.12	0.4	0.1	-0.1
2017.12.14	-0.1	0.1	0.0
2017.11.15	0.0	0.1	0.6
2017.10.13	0.7	0.1	0.3
2017.09.15	0.2	0.1	0.5
2017.08.15	0.5	0.1	0.3
2017.07.14	0.3	0.1	-0.2
2017.06.14	-0.2	0.3	0.2
2017.05.12	0.2	0.4	0.3
2017.04.14	0.3		0.3
2017.03.15	0.3		0.4
2017.02.15	0.4		0.7
2017.01.13	0.7		-0.1
2016.12.14	-0.2		0.1
2016.11.15	0.1		0.2
2016.10.14	0.2		0.0
2016.09.15	0.0		0.2
2016.08.12	0.2		0.2
2016.07.15	0.2		0.1
2016.06.14	0.1		0.3
2016.05.13	0.4		-0.1
2016.04.13	-0.1		-0.1
2016.03.15	0.1		0.1
2016.02.12	0.1		-0.1
2016.01.15	-0.2		-0.1
2015.12.11	0.0		0.1
2015.11.13	0.3		0.1
2015.10.14	0.0		0.0
2015.09.15	0.1		0.7
2015.08.13	0.8		0.3
2015.07.14	0.3		0.4
2015.06.11	0.4		0.1
2015.05.13	0.1		0.2
2015.04.14	0.3		0.0
2015.03.12	0.0		0.1
2015.02.12	0.0		0.2
2015.01.14	0.2		0.2
2014.12.11	0.2		0.3
2014.11.14	0.3		0.2
2014.10.15	0.1		0.4
2014.09.12	0.4		0.4
2014.08.13	0.4		0.5
2014.07.15	0.5		0.6
2014.06.12	0.6		0.4
2014.05.13	0.4		0.4
2014.04.14	0.5		0.4
2014.03.13	0.4		0.5
2014.02.13	0.5		0.4
2014.01.14	0.4		0.7
2013.12.12	0.8		0.6
2013.11.20	0.6		0.3
2013.10.29	0.4		0.4
2013.09.13	0.4		0.0
2013.08.13	0.1		0.1
2013.07.15	-0.1		0.3
2013.06.13	0.2		0.0
2013.05.13	-0.1		0.1
2013.04.12	0.0		1.0
2013.03.13	0.9		0.1
2013.02.13	0.3		0.3
2013.01.15	0.2		0.4
2012.12.13	0.3		0.7
2012.11.14	0.7		0.6
2012.10.15	0.6		0.8
2012.09.14	0.8		0.1
2012.08.14	0.1		0.3
2012.07.16	0.3		0.4
2012.06.13	0.3		0.3
2012.05.15	0.3		0.6
2012.04.16	0.6		0.8
2012.03.13	0.8		0.6
2012.02.14	0.6		0.3
2012.01.12	0.3		0.8
2011.12.13	0.8		0.0
2011.11.15	0.0		0.5
2011.10.14	0.4		0.4
2011.09.14	0.5		0.3
2011.08.12	0.4		1.0
2011.07.14	0.9		0.8
2011.06.14	1.0		1.0
2011.05.12	1.3		0.5
2011.04.13	0.7		0.9
2011.03.11	1.0		0.8
2011.02.15	1.1		0.2
2011.01.14	0.4		0.7
2010.12.14	0.8		0.9
2010.11.15	1.3		0.6
2010.10.15	0.6		1.0
2010.09.14	1.1		0.3
2010.08.13	0.5		0.1
2010.07.14	0.1		0.4
2010.06.11	0.4		0.4
2010.05.14	0.7		0.5
2010.04.14	0.4		0.0
2010.03.12	0.2		-0.2
2010.02.12	-0.3		0.4
2010.01.14	0.4		0.2
2009.12.11	0.4		-0.4
2009.11.16	-0.4		-1.5
2009.10.14	-1.6		-1.0
2009.09.15	-1.1		-1.1
2009.08.13	-1.4		-1.0
2009.07.14	-1.2		-1.1
2009.06.11	-1.3		-1.0
2009.05.13	-1.0		-1.3
2009.04.14	-1.4		-1.1
2009.03.12	-1.1		-1.3
2009.02.12	-1.3		-0.7
2009.01.14	-1.1		-0.6
2008.12.12	-0.6		-0.2
2008.11.14	-0.2		0.3
2008.10.15	0.3		1.1
2008.09.12	1.1		0.7
2008.08.13	0.7		0.3
2008.07.15	0.3		0.5
2008.06.12	0.5		0.1
2008.05.13	0.2		0.6
2008.04.14	0.5		0.8
2008.03.13	0.9		0.6
2008.02.13	0.7		0.4
2008.01.15	0.4		0.1
2007.12.13	0.1		0.4
2007.11.14	0.4		0.1
2007.10.12	0.3		0.5
2007.09.14	0.5		0.4
2007.08.13	0.4		0.5
2007.07.13	0.5		0.4
2007.06.13	0.4		-0.1
2007.05.11	0.0		0.3
2007.04.16	0.3		0.2
2007.03.13	0.2		0.0
2007.02.14	0.0		0.4
