Date	ActualValue	ForecastValue	PreviousValue
2022.07.15	80.0	79.0	80.3
2022.06.17	79.0	78.6	78.9
2022.05.17	79.0	77.9	78.2
2022.04.15	78.3	77.6	77.7
2022.03.17	77.6	77.0	77.3
2022.02.16	77.6	76.6	76.6
2022.01.14	76.5	76.6	76.6
2021.12.16	76.8	75.8	76.5
2021.11.16	76.4	75.7	75.2
2021.10.18	75.2	76.2	76.2
2021.09.15	76.4	75.7	76.2
2021.08.17	76.1	75.2	75.4
2021.07.15	75.4	75.0	75.1
2021.06.15	75.2	74.6	74.6
2021.05.14	74.9	74.0	74.4
2021.04.15	74.4	74.6	73.4
2021.03.16	73.8	75.0	75.5
2021.02.17	75.6	77.7	74.9
2021.01.15	74.5	70.1	73.4
2020.12.15	73.3	76.0	73.0
2020.11.17	72.8	73.7	72.0
2020.10.16	71.5	68.4	72.0
2020.09.15	71.4	73.4	71.1
2020.08.14	70.6	65.7	68.5
2020.07.15	68.6	64.7	65.1
2020.06.16	64.8	68.7	64.0
2020.05.15	64.9	74.8	73.2
2020.04.15	72.7	76.9	77.0
2020.03.17	77.0	76.9	76.6
2020.02.14	76.8	77.1	77.1
2020.01.17	77.0	77.0	77.4
2019.12.17	77.3	77.1	76.6
2019.11.15	76.7	77.7	77.5
2019.10.17	77.5	77.7	77.9
2019.09.17	77.9	77.8	77.5
2019.08.15	77.5	78.0	77.8
2019.07.16	77.9	78.1	78.1
2019.06.14	78.1	78.1	77.9
2019.05.15	77.9	78.1	78.5
2019.04.16	78.8	78.1	79.0
2019.03.15	78.2	78.1	78.3
2019.02.15	78.2	78.2	78.8
2019.01.18	78.7	78.2	78.6
2018.12.14	78.5	78.2	78.1
2018.11.16	78.4	78.1	78.5
2018.10.16	78.1	78.1	78.1
2018.09.14	78.1	78.1	77.9
2018.08.15	78.1	78.1	78.1
2018.07.17	78.0	78.0	77.7
2018.06.15	77.9	77.9	78.1
2018.05.16	78.0	77.7	77.6
2018.04.17	78.0	77.5	77.7
2018.03.16	78.1	77.3	77.4
2018.02.15	77.5	77.1	77.7
2018.01.17	77.9	77.0	77.2
2017.12.15	77.1	76.5	77.0
2017.11.16	77.0	75.4	76.4
2017.10.17	76.0	76.3	75.8
2017.09.15	76.1	76.9	76.9
2017.08.17	76.7	77.1	76.7
2017.07.14	76.6	77.2	76.4
2017.06.15	76.6	76.3	76.7
2017.05.16	76.7	75.7	76.1
2017.04.18	76.1		75.7
2017.03.17	75.4		75.5
2017.02.15	75.3		75.5
2017.01.18	75.5		75.0
2016.12.14	75.0		75.4
2016.11.16	75.3		75.4
2016.10.17	75.4		75.3
2016.09.15	75.5		75.9
2016.08.16	75.9		75.4
2016.07.15	75.4		74.9
2016.06.15	74.9		75.3
2016.05.17	75.4		74.9
2016.04.15	74.8		75.3
2016.03.16	76.7		77.1
2016.02.17	77.1		76.4
2016.01.15	76.5		76.9
2015.12.16	77.0		77.5
2015.11.17	77.5		77.7
2015.10.16	77.5		77.8
2015.09.15	77.6		78.0
2015.08.14	78.0		78.4
2015.07.15	78.4		78.2
2015.06.15	78.1		78.3
2015.05.15	78.2		78.6
2015.04.15	78.4		78.9
2015.03.16	79.0		79.4
2015.02.18	79.1		79.7
2015.01.16	79.7		80.1
