Date	ActualValue	ForecastValue	PreviousValue
2022.07.29	52.1	58.2	56.0
2022.06.30	56.0	58.5	60.3
2022.05.31	60.3	59.7	56.4
2022.04.29	56.4	59.7	62.9
2022.03.31	62.9	60.8	56.3
2022.02.28	56.3	64.3	65.2
2022.01.31	65.2	62.6	64.3
2021.12.30	63.1	65.2	61.8
2021.11.30	61.8	66.8	68.4
2021.10.29	68.4	65.9	64.7
2021.09.30	64.7	70.3	66.8
2021.08.31	66.8	70.1	73.4
2021.07.30	73.4	70.9	66.1
2021.06.30	66.1	74.0	75.2
2021.05.28	75.2	69.5	72.1
2021.04.30	72.1	63.1	66.3
2021.03.31	66.3	61.8	59.5
2021.02.26	59.5	61.8	63.8
2021.01.29	63.8	59.0	59.5
2020.12.30	59.5	59.7	58.2
2020.11.30	58.2	61.9	61.1
2020.10.30	61.1	56.9	62.4
2020.09.30	62.4	42.1	51.2
2020.08.28	51.2	42.7	51.9
2020.07.31	51.9	31.0	36.6
2020.06.30	36.6	42.9	32.3
2020.05.29	32.3	44.5	35.4
2020.04.30	35.4	46.5	47.8
2020.03.31	47.8	46.6	49.0
2020.02.28	49.0	45.9	42.9
2020.01.31	42.9	45.9	48.9
2019.12.30	48.9	45.7	46.3
2019.11.27	46.3	46.9	43.2
2019.10.31	43.2	47.4	47.1
2019.09.30	47.1	48.4	50.4
2019.08.30	50.4	50.0	44.4
2019.07.31	44.4	52.8	49.7
2019.06.28	49.7	56.0	54.2
2019.05.31	54.2	59.0	52.6
2019.04.30	52.6	60.6	58.7
2019.03.29	58.7	62.5	64.7
2019.02.28	64.7	63.0	56.7
2019.01.31	56.7	63.1	65.4
2018.12.28	65.4	61.6	66.4
2018.11.30	66.4	61.4	58.4
2018.10.31	58.4	63.5	60.4
2018.09.28	60.4	64.5	63.6
2018.08.31	63.6	63.6	65.5
2018.07.31	65.5	61.0	64.1
2018.06.29	64.1	59.2	62.7
2018.05.31	62.7	59.6	57.6
2018.04.30	57.6	62.5	57.4
2018.03.29	57.4	65.4	61.9
2018.02.28	61.9	66.0	65.7
2018.01.31	65.7	65.9	67.6
2017.12.28	67.6		63.9
2017.11.30	63.9	63.0	66.2
2017.10.31	66.2	61.2	65.2
2017.09.29	65.2	61.2	58.9
2017.08.31	58.9	61.4	58.9
2017.07.31	58.9	60.6	65.7
2017.06.30	65.7	58.3	59.4
2017.05.31	59.4	57.1	58.3
2017.04.28	58.3		57.7
2017.03.31	57.7		57.4
2017.02.28	57.4		50.3
2017.01.31	50.3		54.6
2016.12.30	54.6		57.6
2016.11.30	57.6		50.6
2016.10.31	50.6		54.2
2016.09.30	54.2		51.5
2016.08.31	51.5		55.8
2016.07.29	55.8		56.8
2016.06.30	56.8		49.3
2016.05.31	49.3		50.4
2016.04.29	50.4		53.6
2016.03.31	53.6		47.6
2016.02.29	47.6		55.6
2016.01.29	55.6		42.9
2015.12.31	42.9		48.7
2015.11.30	48.7		56.2
2015.10.30	56.2		48.7
2015.09.30	48.7		54.4
2015.08.31	54.4		54.7
2015.07.31	54.7		49.4
2015.06.30	49.4		46.2
2015.05.29	46.2		52.3
2015.04.30	52.3		46.3
2015.03.31	46.3		45.8
2015.02.27	45.8		59.4
2015.01.30	59.4		58.3
2014.12.31	58.3		60.8
2014.11.26	60.8		66.2
2014.10.31	66.2		60.5
2014.09.30	60.5		64.3
2014.08.29	64.3		52.6
2014.07.31	52.6		62.6
2014.06.30	62.6		65.5
2014.05.30	65.5		63.0
2014.04.30	63.0		55.9
2014.03.31	55.9		59.8
2014.02.28	59.8		59.6
2014.01.31	59.6		59.1
2013.12.31	60.8		63.0
2013.11.27	63.0		65.9
2013.10.31	65.9		55.7
2013.09.30	55.7		53.0
2013.08.30	53.0		52.3
2013.07.31	52.3		51.6
2013.06.28	51.6		58.7
2013.05.31	58.7		49.0
2013.04.30	49.0		52.4
2013.03.28	52.4		56.8
2013.02.28	56.8		55.6
2013.01.31	55.6		48.9
2012.12.28	50.0		50.4
2012.11.30	50.4		49.9
2012.10.31	49.9		49.7
2012.09.28	49.7		53.0
2012.08.31	53.0		53.7
2012.07.31	53.7		52.9
2012.06.29	52.9		52.7
2012.05.31	52.7		56.2
2012.04.30	56.2		62.2
2012.03.30	62.2		64.0
2012.02.29	64.0		60.2
2012.01.31	60.2		62.2
2011.12.29	62.2		62.2
2011.11.30	62.5		59.3
2011.10.31	59.3		61.3
2011.09.30	61.3		56.5
2011.08.31	58.1		59.8
2011.07.29	59.8		61.1
2011.06.30	61.1		56.6
2011.05.31	56.6		67.6
2011.04.29	67.6		70.6
2011.03.31	70.6		71.2
2011.02.28	71.2		68.8
2011.01.31	68.8		66.8
2010.12.30	66.8		61.9
2010.11.30	61.9		60.2
2010.10.29	60.2		60.6
2010.09.30	60.6		56.7
2010.08.31	56.7		62.3
2010.07.30	62.3		59.1
2010.06.30	59.1		59.7
2010.05.28	59.7		63.8
2010.04.30	63.8		58.8
2010.03.31	58.8		62.6
2010.02.26	62.6		61.5
2010.01.29	61.5		60.0
2009.12.30	58.7		56.1
2009.11.30	56.1		54.2
2009.10.30	54.2		46.1
2009.09.30	46.1		50.0
2009.08.31	50.0		43.4
2009.07.31	43.4		39.9
2009.06.30	39.9		34.9
2009.05.29	34.9		40.1
2009.04.30	40.1		31.4
2009.03.31	31.4		34.2
2009.02.27	34.2		33.3
2009.01.30	33.3		34.1
2008.12.30	35.1		33.8
2008.11.26	33.8		37.8
2008.10.31	37.8		56.7
2008.09.30	56.7		57.9
2008.08.29	57.9		50.8
2008.07.31	50.8		49.6
2008.06.30	49.6		49.1
2008.05.30	49.1		48.3
2008.04.30	48.3		48.2
2008.03.31	48.2		44.5
2008.02.29	44.5		51.5
2008.01.31	51.5		56.6
2007.12.28	56.4		52.9
2007.11.30	52.9		49.7
2007.10.31	49.7		54.2
2007.09.28	54.2		53.8
2007.08.31	53.8		53.4
2007.07.31	53.4		60.2
2007.06.29	60.2		61.7
2007.05.31	61.7		52.9
2007.04.30	52.9		61.7
2007.03.30	61.7		47.9
2007.02.28	47.9		
