Date	ActualValue	ForecastValue	PreviousValue
2022.08.10	8.5	9.7	9.1
2022.07.13	9.1	9.0	8.6
2022.06.10	8.6	8.2	8.3
2022.05.11	8.3	8.4	8.5
2022.04.12	8.5	7.9	7.9
2022.03.10	7.9	7.6	7.5
2022.02.10	7.5	7.2	7.0
2022.01.12	7.0	7.1	6.8
2021.12.10	6.8	6.5	6.2
2021.11.10	6.2	5.6	5.4
2021.10.13	5.4	5.3	5.3
2021.09.14	5.3	5.4	5.4
2021.08.11	5.4	5.4	5.4
2021.07.13	5.4	4.5	5.0
2021.06.10	5.0	4.8	4.2
2021.05.12	4.2	3.2	2.6
2021.04.13	2.6	1.8	1.7
2021.03.10	1.7	1.4	1.4
2021.02.10	1.4	2.0	1.4
2021.01.13	1.4	0.9	1.2
2020.12.10	1.2	0.7	1.2
2020.11.12	1.2	1.8	1.4
2020.10.13	1.4	1.4	1.3
2020.09.11	1.3	1.0	1.0
2020.08.12	1.0	1.1	0.6
2020.07.14	0.6	0.4	0.1
2020.06.10	0.1	-0.8	0.3
2020.05.12	0.3	0.7	1.5
2020.04.10	1.5	2.2	2.3
2020.03.11	2.3	2.4	2.5
2020.02.13	2.5	2.2	2.3
2020.01.14	2.3	2.1	2.1
2019.12.11	2.1	1.8	1.8
2019.11.13	1.8	1.8	1.7
2019.10.10	1.7	1.8	1.7
2019.09.12	1.7	1.4	1.8
2019.08.13	1.8	1.6	1.6
2019.07.11	1.6	1.5	1.8
2019.06.12	1.8	2.2	2.0
2019.05.10	2.0	1.6	1.9
2019.04.10	1.9	1.2	1.5
2019.03.12	1.5	1.4	1.6
2019.02.13	1.6	1.9	1.9
2019.01.11	1.9	2.2	2.2
2018.12.12	2.2	2.2	2.5
2018.11.14	2.5	1.9	2.3
2018.10.11	2.3	2.5	2.7
2018.09.13	2.7	2.7	2.9
2018.08.10	2.9	2.8	2.9
2018.07.12	2.9	3.2	2.8
2018.06.12	2.8	2.3	2.5
2018.05.10	2.5	2.6	2.4
2018.04.11	2.4	2.3	2.2
2018.03.13	2.2	2.1	2.1
2018.02.14	2.1	1.9	2.1
2018.01.12	2.1	1.9	2.2
2017.12.13	2.2	2.0	2.0
2017.11.15	2.0	2.7	2.2
2017.10.13	2.2	1.6	1.9
2017.09.14	1.9	1.7	1.7
2017.08.11	1.7	1.6	1.6
2017.07.14	1.6	1.3	1.9
2017.06.14	1.9	1.8	2.2
2017.05.12	2.2	1.9	2.4
2017.04.14	2.4		2.7
2017.03.15	2.7		2.5
2017.02.15	2.5		2.1
2017.01.18	2.1		1.7
2016.12.15	1.7		1.6
2016.11.17	1.6		1.5
2016.10.18	1.5		1.1
2016.09.16	1.1		0.8
2016.08.16	0.8		1.0
2016.07.15	1.0		1.0
2016.06.16	1.0		1.1
2016.05.17	1.1		0.9
2016.04.14	0.9		1.0
2016.03.16	1.0		1.4
2016.02.19	1.4		0.7
2016.01.20	0.7		0.5
2015.12.15	0.5		0.2
2015.11.17	0.2		0.0
2015.10.15	0.0		0.2
2015.09.16	0.2		0.2
2015.08.19	0.2		0.1
2015.07.17	0.1		0.0
2015.06.18	0.0		-0.2
2015.05.22	-0.2		-0.1
2015.04.17	-0.1		0.0
2015.03.24	0.0		-0.1
2015.02.26	-0.1		0.8
2015.01.16	0.8		1.3
2014.12.17	1.3		1.7
2014.11.20	1.7		1.7
2014.10.22	1.7		1.7
2014.09.17	1.7		2.0
2014.08.19	2.0		2.1
2014.07.22	2.1		2.1
2014.06.17	2.1		2.0
2014.05.15	2.0		1.5
2014.04.15	1.5		1.1
2014.03.18	1.1		1.6
2014.02.20	1.6		1.5
2014.01.16	1.5		1.2
2013.12.17	1.2		1.0
2013.11.20	1.0		1.2
2013.10.30	1.2		1.5
2013.09.17	1.5		2.0
2013.08.15	2.0		1.8
2013.07.16	1.8		1.4
2013.06.18	1.4		1.1
2013.05.16	1.1		1.5
2013.04.16	1.5		2.0
2013.03.15	2.0		1.6
2013.02.21	1.6		1.7
2013.01.16	1.7		1.8
2012.12.14	1.8		2.2
2012.11.15	2.2		2.0
2012.10.16	2.0		1.7
2012.09.14	1.7		1.4
2012.08.15	1.4		1.7
2012.07.17	1.7		1.7
2012.06.14	1.7		2.3
2012.05.15	2.3		2.7
2012.04.13	2.7		2.9
2012.03.16	2.9		2.9
2012.02.17	2.9		3.0
2012.01.19	3.0		3.4
2011.12.16	3.4		3.5
2011.11.16	3.5		3.9
2011.10.19	3.9		3.8
2011.09.15	3.8		3.6
