Date	ActualValue	ForecastValue	PreviousValue
2022.08.26	4.6	5.3	4.8
2022.07.29	4.8	5.0	4.7
2022.06.30	4.7	4.5	4.9
2022.05.27	4.9	4.6	5.2
2022.04.29	5.2	4.8	5.3
2022.03.31	5.4	5.1	5.2
2022.02.25	5.2	5.4	4.9
2022.01.28	4.9	5.2	4.7
2021.12.23	4.7	4.5	4.2
2021.11.24	4.1	3.6	3.7
2021.10.29	3.6	3.3	3.6
2021.10.01	3.6	3.8	3.6
2021.08.27	3.6	3.0	3.6
2021.07.30	3.5	3.0	3.4
2021.06.25	3.4	2.7	3.1
2021.05.28	3.1	1.6	1.9
2021.04.30	1.8	1.4	1.4
2021.03.26	1.4	1.5	1.5
2021.02.26	1.5	1.4	1.4
2021.01.29	1.5	1.4	1.4
2020.12.23	1.4	1.4	1.4
2020.11.25	1.4	1.5	1.6
2020.10.30	1.5	1.4	1.4
2020.10.01	1.6	1.1	1.4
2020.08.28	1.3	0.9	1.1
2020.07.31	0.9	1.0	1.0
2020.06.26	1.0	1.4	1.0
2020.05.29	1.0	1.7	1.7
2020.04.30	1.7	1.7	1.8
2020.03.27	1.8	1.6	1.7
2020.02.28	1.6	1.6	1.5
2020.01.31	1.6	1.6	1.5
2019.12.20	1.6	1.6	1.7
2019.11.27	1.6	1.7	1.7
2019.10.31	1.7	1.7	1.8
2019.09.27	1.8	1.6	1.7
2019.08.30	1.6	1.6	1.6
2019.07.30	1.6	1.6	1.5
2019.06.28	1.6	1.6	1.6
2019.05.31	1.6	1.7	1.5
2019.04.29	1.6	1.7	1.7
2019.04.29	1.7	1.8	1.8
2019.03.29	1.8	1.9	2.0
2019.03.01	1.9	1.8	1.9
2018.12.21	1.9	1.9	1.8
2018.11.29	1.8	2.0	1.9
2018.10.29	2.0	2.0	2.0
2018.09.28	2.0	1.9	2.0
2018.08.30	2.0	1.9	1.9
2018.07.31	1.9	1.9	1.9
2018.06.29	2.0	1.8	1.8
2018.05.31	1.8	1.7	1.8
2018.04.30	1.9	1.5	1.6
2018.03.29	1.6	1.5	1.5
2018.03.01	1.5	1.5	1.5
2018.01.29	1.5	1.4	1.5
2017.12.22	1.5	1.3	1.4
2017.11.30	1.4	1.3	1.4
2017.10.30	1.3	1.3	1.3
2017.09.29	1.3	1.4	1.4
2017.08.31	1.4	1.4	1.5
2017.08.01	1.5	1.4	1.5
2017.06.30	1.4	1.5	1.5
2017.05.30	1.5	1.7	1.6
2017.05.01	1.6		1.8
2017.03.31	1.8		1.8
2017.03.01	1.7		1.7
2017.01.30	1.7		1.7
2016.12.22	1.6		1.8
2016.11.30	1.7		1.7
2016.10.31	1.7		1.7
2016.09.30	1.7		1.6
2016.08.29	1.6		1.6
2016.08.02	1.6		1.6
2016.06.29	1.6		1.6
2016.05.31	1.6		1.6
2016.04.29	1.6		1.7
2016.03.28	1.7		1.7
2016.02.26	1.7		1.5
2016.02.01	1.4		1.4
2015.12.23	1.3		1.3
2015.11.25	1.3		1.3
2015.10.30	1.3		1.3
2015.09.28	1.3		1.2
2015.08.28	1.2		1.3
2015.08.03	1.3		1.3
2015.06.25	1.2		1.3
2015.06.01	1.2		1.3
2015.04.30	1.3		1.3
2015.03.30	1.4		1.3
2015.03.02	1.3		1.3
2015.02.02	1.3		1.4
2014.12.23	1.4		1.6
2014.11.26	1.5		1.5
2014.10.31	1.5		1.5
2014.09.29	1.5		1.5
2014.08.29	1.5		1.6
2014.08.01	1.6		1.5
2014.06.26	1.7		1.4
2014.05.30	1.4		1.2
2014.05.01	1.2		1.1
2014.03.28	1.1		1.1
2014.03.03	1.1		1.2
2014.01.31	1.2		1.1
2013.12.23	1.1		1.1
2013.12.06	1.1		1.2
2013.11.08	1.2		1.2
2013.09.27	1.2		1.2
2013.08.30	1.1		1.2
2013.08.02	1.2		1.1
2013.06.27	1.2		1.1
2013.05.31	1.1		1.1
2013.04.29	1.2		1.3
2013.03.29	1.3		1.3
2013.03.01	1.3		1.4
2013.01.31	1.4		1.5
2012.12.21	1.5		1.6
2012.11.30	1.6		1.7
2012.10.29	1.6		1.6
2012.09.28	1.6		1.6
2012.08.30	1.6		1.8
2012.07.31	1.8		1.8
2012.06.29	1.8		2.0
2012.06.01	2.0		2.0
2012.04.30	2.1		1.9
2012.03.30	1.9		1.9
2012.03.01	1.9		1.8
2012.01.30	1.8		1.7
2011.12.23	1.7		1.7
2011.11.23	1.7		1.6
2011.10.28	1.6		1.7
2011.09.30	1.7		1.6
2011.08.29	1.6		1.3
2011.08.02	1.4		1.2
2011.06.27	1.3		1.1
2011.05.27	1.1		0.9
2011.04.29	0.9		0.9
2011.03.28	0.9		0.8
2011.02.28	0.8		0.7
2011.01.31	0.7		0.8
2010.12.23	0.8		0.9
2010.11.24	0.8		1.2
2010.11.01	1.2		1.4
2010.10.01	1.4		1.4
2010.08.30	1.4		1.4
2010.08.03	1.4		1.3
2010.06.28	1.5		1.2
2010.05.28	1.2		1.3
2010.05.03	1.3		1.3
2010.03.29	1.3		1.4
2010.03.01	1.4		1.5
2010.02.01	1.5		1.4
2009.12.23	1.4		1.4
2009.11.25	1.4		1.3
2009.10.30	1.3		1.3
2009.10.01	1.3		1.4
2009.08.28	1.4		1.5
2009.08.04	1.5		1.8
2009.06.26	1.8		1.9
2009.06.01	1.9		1.8
2009.04.30	1.8		1.8
2009.03.27	1.8		1.6
2009.03.02	1.7		1.7
2009.02.02	1.7		1.9
2008.12.24	1.9		2.1
2008.11.26	2.1		2.4
2008.10.31	2.4		2.6
2008.09.29	2.6		2.4
2008.08.29	2.4		2.3
2008.08.04	2.3		2.1
2008.06.27	2.1		2.1
2008.05.30	2.1		2.1
2008.05.01	2.1		2.0
2008.03.28	2.0		2.2
2008.02.29	2.2		2.2
2008.01.31	2.2		2.2
2007.12.21	2.2		1.9
2007.11.30	2.0		1.9
2007.11.01	1.9		1.8
2007.09.28	1.8		1.9
2007.08.31	1.9		1.9
2007.07.31	1.9		1.9
2007.06.29	2.0		2.1
2007.06.01	2.1		2.3
2007.04.30	2.3		2.4
2007.03.30	2.4		
