Date	ActualValue	ForecastValue	PreviousValue
2022.08.03	2.0	0.1	1.8
2022.07.05	1.6	0.1	0.7
2022.06.02	0.3	0.0	1.8
2022.05.03	2.2	-0.1	0.1
2022.04.04	-0.5	-0.2	1.5
2022.03.03	1.4	-0.3	0.7
2022.02.03	-0.4	-0.6	1.8
2022.01.06	1.6	-0.9	1.2
2021.12.03	1.0	0.4	0.2
2021.11.03	0.2	0.8	1.2
2021.10.04	1.2	1.3	0.4
2021.09.02	0.4	1.4	1.5
2021.08.03	1.5	-0.6	2.3
2021.07.02	1.7	-1.4	-0.1
2021.06.04	-0.6	-1.5	1.4
2021.05.04	1.1	-1.5	-0.5
2021.04.05	-0.8	0.2	2.7
2021.03.04	2.6	0.6	1.6
2021.02.04	1.1	1.2	1.3
2021.01.06	1.0	-3.6	1.3
2020.12.04	1.0	-5.6	1.3
2020.11.03	1.1	-6.6	0.6
2020.10.02	0.7	6.3	6.5
2020.09.02	6.4	1.8	6.4
2020.08.04	6.2	5.5	7.7
2020.07.02	8.0	-16.2	-13.5
2020.06.03	-13.0	5.5	-11.0
2020.05.04	-10.3	-0.2	-0.1
2020.04.02	0.0	0.7	-0.5
2020.03.05	-0.5	0.3	1.9
2020.02.04	1.8	0.3	-1.2
2020.01.07	-0.7	-0.8	0.2
2019.12.05	0.3	0.4	-0.8
2019.11.04	-0.6	1.6	-0.1
2019.10.03	-0.1	-0.8	1.4
2019.09.05	1.4	-0.3	0.5
2019.08.02	0.6	0.0	-1.3
2019.07.03	-0.7	-0.2	-1.2
2019.06.04	-0.8	0.0	1.3
2019.05.02	1.9	0.0	-0.3
2019.04.08	-0.5	0.0	0.0
2019.03.19	0.1	-0.2	0.1
2019.02.27	0.1	-0.6	-0.5
2019.02.04	-0.6	0.8	-2.1
2018.12.06	-2.1	0.1	0.2
2018.11.02	0.7	0.0	2.6
2018.10.04	2.3	0.0	-0.5
2018.09.06	-0.8	-0.1	0.6
2018.08.02	0.7	0.0	0.4
2018.07.03	0.4	-0.1	-0.4
2018.06.04	-0.8	-0.1	1.7
2018.05.03	1.6	-0.1	1.6
2018.04.04	1.2	-0.1	-1.3
2018.03.06	-1.4	-0.1	1.8
2018.02.02	1.7	-0.1	1.7
2018.01.05	1.3	-0.1	0.4
2017.12.04	-0.1	0.0	1.7
2017.11.03	1.4	0.0	1.2
2017.10.05	1.2	0.0	-3.3
2017.09.05	-3.3	0.1	3.2
2017.08.03	3.0	0.1	-0.3
2017.07.05	-0.8	0.1	-0.3
2017.06.05	-0.2	0.2	1.0
2017.05.04	0.2	0.1	1.2
2017.04.04	1.0		1.5
2017.03.06	1.2		1.3
2017.02.03	1.3		-2.4
2017.01.06	-2.4		2.8
2016.12.06	2.7		0.6
2016.11.03	0.3		0.4
2016.10.05	0.2		1.4
2016.09.02	1.9		-1.8
2016.08.04	-1.5		-1.2
2016.07.05	-1.0		1.8
2016.06.03	1.9		1.1
2016.05.04	1.1		-1.9
2016.04.04	-1.7		1.2
2016.03.03	1.6		-2.9
2016.02.04	-2.9		-0.7
2016.01.06	-0.2		1.3
2015.12.03	1.5		-0.8
2015.11.03	-1.0		-2.1
