0,Jun 2022,          11.3%        ,10.0%,
1,May 2022,          10.8%        ,11.1%,
2,Apr 2022,          11.0%        ,12.2%,
3,Mar 2022,          11.2%        ,9.4%,
4,Feb 2022,          10.0%        ,9.1%,
5,Jan 2022,          9.7%        ,10.1%,
6,Dec 2021,          9.7%        ,10.1%,
7,Nov 2021,          9.6%        ,8.3%,
8,Oct 2021,          8.6%        ,8.6%,
9,Sep 2021,          8.6%        ,8.7%,
10,Aug 2021,          8.3%        ,7.8%,
11,Jul 2021,          7.8%        ,7.3%,
12,Jun 2021,          7.3%        ,7.1%,
13,May 2021,          6.6%        ,7.2%,
14,Apr 2021,          6.2%        ,4.9%,
15,Mar 2021,          4.2%        ,3.7%,
16,Feb 2021,          2.8%        ,2.4%,
17,Jan 2021,          1.7%        ,0.7%,
18,Dec 2020,          0.8%        ,0.4%,
19,Nov 2020,          0.8%        ,1.0%,
20,Oct 2020,          0.5%        ,1.0%,
21,Sep 2020,          0.4%        ,-0.1%,
22,Aug 2020,          -0.2%        ,-0.3%,
23,Jul 2020,          -0.4%        ,-0.3%,
24,Jun 2020,          -0.8%        ,-1.0%,
25,May 2020,          -0.8%        ,-0.3%,
26,Apr 2020,          -1.2%        ,1.0%,
27,Mar 2020,          0.7%        ,1.0%,
28,Feb 2020,          1.3%        ,2.4%,
29,Jan 2020,          2.1%        ,1.6%,
30,Dec 2019,          1.3%        ,1.0%,
31,Nov 2019,          1.1%        ,0.4%,
32,Oct 2019,          1.1%        ,0.9%,
33,Sep 2019,          1.4%        ,2.2%,
34,Aug 2019,          1.8%        ,2.1%,
35,Jul 2019,          1.7%        ,1.2%,
36,Jun 2019,          1.7%        ,1.4%,
37,May 2019,          1.8%        ,2.2%,
38,Apr 2019,          2.2%        ,2.4%,
39,Mar 2019,          2.2%        ,1.6%,
40,Feb 2019,          1.9%        ,1.4%,
41,Jan 2019,          2.0%        ,2.0%,
42,Dec 2018,          2.5%        ,2.8%,
43,Nov 2018,          2.5%        ,2.6%,
44,Oct 2018,          2.9%        ,1.9%,
45,Sep 2018,          2.6%        ,2.5%,
46,Aug 2018,          2.8%        ,3.4%,
47,Jul 2018,          3.3%        ,3.2%,
48,Jun 2018,          3.4%        ,2.7%,
49,May 2018,          3.1%        ,2.7%,
50,Apr 2018,          2.6%        ,3.1%,
51,Mar 2018,          3.0%        ,2.7%,
52,Feb 2018,          2.8%        ,2.3%,
53,Jan 2018,          2.7%        ,2.2%,
54,Dec 2017,          2.6%        ,2.8%,
55,Nov 2017,          3.1%        ,3.0%,
56,Oct 2017,          2.8%        ,2.9%,
57,Sep 2017,          2.6%        ,2.6%,
58,Aug 2017,          2.4%        ,1.8%,
59,Jul 2017,          1.9%        ,1.7%,
60,Jun 2017,          2.0%        ,2.1%,
61,May 2017,          2.4%        ,2.6%,
62,Apr 2017,          2.5%        ,2.5%,
63,Mar 2017,          2.3%        ,,
64,Feb 2017,          2.2%        ,,
65,Jan 2017,          1.6%        ,,
66,Dec 2016,          1.6%        ,,
67,Nov 2016,          1.3%        ,,
68,Oct 2016,          0.8%        ,,
69,Sep 2016,          0.7%        ,,
70,Aug 2016,          0.0%        ,,
71,Jul 2016,          -0.2%        ,,
72,Jun 2016,          0.3%        ,,
73,May 2016,          -0.1%        ,,
74,Apr 2016,          0.0%        ,,
75,Mar 2016,          -0.1%        ,,
76,Feb 2016,          0.0%        ,,
77,Jan 2016,          -0.2%        ,,
78,Dec 2015,          -1.0%        ,,
79,Nov 2015,          -1.1%        ,,
80,Oct 2015,          -1.6%        ,,
81,Sep 2015,          -1.1%        ,,
82,Aug 2015,          -0.8%        ,,
83,Jul 2015,          -0.8%        ,,
84,Jun 2015,          -0.7%        ,,
85,May 2015,          -1.1%        ,,
86,Apr 2015,          -1.3%        ,,
87,Mar 2015,          -0.8%        ,,
88,Feb 2015,          -0.6%        ,,
89,Jan 2015,          0.0%        ,,
90,Dec 2014,          1.1%        ,,
91,Nov 2014,          1.4%        ,,
92,Oct 2014,          1.5%        ,,
93,Sep 2014,          1.6%        ,,
94,Aug 2014,          1.8%        ,,
95,Jul 2014,          1.7%        ,,
96,Jun 2014,          1.9%        ,,
97,May 2014,          2.0%        ,,
98,Apr 2014,          2.1%        ,,
99,Mar 2014,          1.4%        ,,
100,Feb 2014,          0.9%        ,,
101,Jan 2014,          1.2%        ,,
102,Dec 2013,          1.2%        ,,
103,Nov 2013,          0.7%        ,,
104,Oct 2013,          0.3%        ,,
105,Sep 2013,          0.3%        ,,
106,Aug 2013,          1.4%        ,,
107,Jul 2013,          2.1%        ,,
108,Jun 2013,          2.5%        ,,
109,May 2013,          1.7%        ,,
110,Apr 2013,          0.6%        ,,
111,Mar 2013,          1.1%        ,,
112,Feb 2013,          1.7%        ,,
113,Jan 2013,          1.4%        ,,
114,Dec 2012,          1.3%        ,,
115,Nov 2012,          1.5%        ,,
116,Oct 2012,          2.3%        ,,
117,Sep 2012,          2.1%        ,,
118,Aug 2012,          2.0%        ,,
119,Jul 2012,          0.5%        ,,
120,Jun 2012,          0.7%        ,,
121,May 2012,          0.7%        ,,
122,Apr 2012,          1.9%        ,,
123,Mar 2012,          2.8%        ,,
124,Feb 2012,          3.3%        ,,
125,Jan 2012,          4.1%        ,,
126,Dec 2011,          4.8%        ,,
127,Nov 2011,          5.7%        ,,
128,Oct 2011,          5.9%        ,,
129,Sep 2011,          6.9%        ,,
130,Aug 2011,          6.5%        ,,
131,Jul 2011,          7.2%        ,,
132,Jun 2011,          7.0%        ,,
133,May 2011,          7.3%        ,,
134,Apr 2011,          6.8%        ,,
135,Mar 2011,          5.8%        ,,
136,Feb 2011,          5.6%        ,,
137,Jan 2011,          3.6%        ,,
138,Dec 2010,          4.0%        ,,
139,Nov 2010,          3.5%        ,,
140,Oct 2010,          4.3%        ,,
141,Sep 2010,          4.0%        ,,
142,Aug 2010,          3.1%        ,,
143,Jul 2010,          4.2%        ,,
144,Jun 2010,          2.8%        ,,
145,May 2010,          5.3%        ,,
146,Apr 2010,          5.5%        ,,
147,Mar 2010,          6.0%        ,,
148,Feb 2010,          4.4%        ,,
149,Jan 2010,          4.6%        ,,
150,Dec 2009,          4.4%        ,,
151,Nov 2009,          2.4%        ,,
152,Oct 2009,          -1.9%        ,,
153,Sep 2009,          -4.8%        ,,
154,Aug 2009,          -4.3%        ,,
155,Jul 2009,          -6.8%        ,,
156,Jun 2009,          -4.6%        ,,
157,May 2009,          -5.0%        ,,
158,Apr 2009,          -3.7%        ,,
159,Mar 2009,          -3.5%        ,,
160,Feb 2009,          -1.3%        ,,
