Date	ActualValue	ForecastValue	PreviousValue
2022.07.19	1.559	1.639	1.591
2022.06.16	1.549	1.764	1.810
2022.05.18	1.724	1.788	1.728
2022.04.19	1.793	1.710	1.788
2022.03.17	1.769	1.674	1.657
2022.02.17	1.638	1.696	1.708
2022.01.19	1.702	1.604	1.679
2021.12.16	1.679	1.539	1.502
2021.11.17	1.520	1.588	1.530
2021.10.19	1.555	1.578	1.580
2021.09.21	1.615	1.591	1.554
2021.08.18	1.534	1.612	1.650
2021.07.20	1.643	1.573	1.546
2021.06.16	1.572	1.657	1.517
2021.05.18	1.569	1.587	1.733
2021.04.16	1.739	1.501	1.457
2021.03.17	1.421	1.628	1.584
2021.02.18	1.580	1.613	1.680
2021.01.21	1.669	1.541	1.578
2020.12.17	1.547	1.309	1.528
2020.11.18	1.530	1.146	1.459
2020.10.20	1.415	1.456	1.388
2020.09.17	1.416	1.343	1.492
2020.08.18	1.496	1.077	1.220
2020.07.17	1.186	0.800	1.011
2020.06.17	0.974	1.281	0.934
2020.05.19	0.891	1.439	1.276
2020.04.16	1.216	1.414	1.564
2020.03.18	1.599	1.354	1.624
2020.02.19	1.567	1.300	1.626
2020.01.17	1.608	1.250	1.375
2019.12.17	1.365	1.227	1.323
2019.11.19	1.314	1.212	1.266
2019.10.17	1.256	1.204	1.386
2019.09.18	1.364	1.193	1.215
2019.08.16	1.191	1.199	1.241
2019.07.17	1.253	1.200	1.265
2019.06.18	1.269	1.206	1.281
2019.05.16	1.235	1.221	1.168
2019.04.19	1.139	1.241	1.142
2019.03.26	1.162	1.258	1.273
2019.03.08	1.230	1.269	1.037
2019.02.26	1.078	1.288	1.214
2018.12.18	1.256	1.288	1.217
2018.11.20	1.228	1.288	1.210
2018.10.17	1.201	1.288	1.268
2018.09.19	1.282	1.284	1.174
2018.08.16	1.168	1.287	1.158
2018.07.18	1.173	1.286	1.337
2018.06.19	1.350	1.267	1.286
2018.05.16	1.287	1.259	1.336
2018.04.17	1.319	1.238	1.295
2018.03.16	1.236	1.230	1.329
2018.02.16	1.326	1.225	1.209
2018.01.18	1.192	1.212	1.299
2017.12.19	1.297	1.201	1.256
2017.11.17	1.290	1.211	1.135
2017.10.18	1.127	1.218	1.183
2017.09.19	1.180	1.222	1.190
2017.08.16	1.155	1.226	1.213
2017.07.19	1.215	1.225	1.122
2017.06.16	1.092	1.233	1.156
2017.05.16	1.172	1.230	1.203
2017.04.18	1.215		1.303
2017.03.16	1.288		1.251
2017.02.16	1.246		1.226
2017.01.19	1.226		1.020
2016.12.16	1.090		1.340
2016.11.17	1.323		1.054
2016.10.19	1.047		1.150
2016.09.20	1.142		1.212
2016.08.16	1.211		1.186
2016.07.19	1.189		1.135
2016.06.17	1.164		1.167
2016.05.17	1.172		1.099
2016.04.19	1.089		1.194
2016.03.16	1.178		1.120
2016.02.17	1.099		1.143
2016.01.20	1.149		1.179
2015.12.16	1.173		1.062
2015.11.18	1.060		1.191
2015.10.20	1.206		1.132
2015.09.17	1.126		1.161
2015.08.18	1.206		1.204
2015.07.17	1.174		1.069
2015.06.16	1.036		1.165
2015.05.19	1.135		0.944
2015.04.16	0.926		0.897
2015.03.17	0.897		1.065
2015.02.18	1.081		1.087
2015.01.21	1.087		1.028
2014.12.16	1.043		1.009
2014.11.19	1.045		1.017
2014.10.17	1.038		0.956
2014.09.18	0.957		1.093
2014.08.19	1.117		0.945
2014.07.17	0.945		1.001
2014.06.17	0.985		1.072
2014.05.16	1.071		0.946
2014.04.16	0.947		0.907
2014.03.18	0.920		0.900
2014.02.19	0.909		0.999
2014.01.17	1.048		1.091
2013.12.18	1.107		0.889
2013.11.26	0.889		0.873
2013.11.26	0.873		0.891
2013.09.18	0.891		0.896
2013.08.16	0.883		0.836
2013.07.17	0.846		0.914
2013.06.18	0.928		0.853
2013.05.16	0.856		1.036
2013.04.16	1.021		0.917
2013.03.19	0.939		0.890
2013.02.20	0.910		0.954
2013.01.17	0.973		0.861
2012.12.19	0.851		0.894
2012.11.20	0.888		0.872
2012.10.17	0.863		0.750
2012.09.19	0.758		0.746
2012.08.16	0.733		0.760
2012.07.18	0.754		0.708
2012.06.19	0.711		0.717
2012.05.16	0.744		0.654
2012.04.17	0.699		0.698
2012.03.20	0.694		0.699
2012.02.16	0.706		0.657
2012.01.19	0.689		0.685
2011.12.20	0.685		0.628
2011.11.17	0.627		0.658
2011.10.19	0.630		0.571
2011.09.20	0.572		0.604
2011.08.16	0.601		0.629
2011.07.19	0.613		0.560
2011.06.16	0.549		0.523
2011.05.17	0.541		0.549
2011.04.19	0.585		0.479
2011.03.16	0.512		0.596
2011.02.16	0.618		0.530
2011.01.19	0.520		0.555
2010.12.16	0.553		0.519
2010.11.17	0.534		0.610
2010.10.19	0.588		0.598
2010.09.21	0.608		0.559
2010.08.17	0.541		0.540
2010.07.20	0.537		0.590
2010.06.16	0.578		0.670
2010.05.18	0.660		0.630
2010.04.16	0.640		0.570
2010.03.16	0.616		0.590
2010.02.17	0.610		0.560
2010.01.20	0.580		0.570
2009.12.16	0.580		0.530
2009.11.18	0.530		0.590
2009.10.20	0.590		0.600
2009.09.17	0.590		0.580
2009.08.18	0.590		0.580
2009.07.17	0.590		0.530
2009.06.16	0.530		0.460
2009.05.19	0.450		0.510
2009.04.16	0.530		0.583
2009.03.17	0.572		0.470
2009.02.18	0.470		0.550
2009.01.22	0.560		0.630
2008.12.16	0.651		0.791
2008.11.19	0.791		0.817
2008.10.17	0.820		0.895
2008.09.17	0.895		0.965
2008.08.19	0.954		1.066
2008.07.17	1.066		0.975
2008.06.17	0.978		1.032
2008.05.16	1.008		0.947
2008.04.16	0.954		1.065
2008.03.18	1.075		1.012
2008.02.20	1.071		1.004
2008.01.17	1.004		1.187
2007.12.18	1.162		1.229
2007.11.20	1.232		1.191
2007.10.17	1.193		1.331
2007.09.19	1.327		1.381
2007.08.16	1.367		1.467
2007.07.18	1.467		1.474
2007.06.19	1.434		1.530
2007.05.16	1.506		1.518
2007.04.17	1.518		1.525
2007.03.20	1.525		1.408
2007.02.16	1.408		
