Date	ActualValue	ForecastValue	PreviousValue
2022.08.03	56.7	55.6	55.3
2022.07.06	55.3	57.7	55.9
2022.06.03	55.9	57.7	57.1
2022.05.04	57.1	62.7	58.3
2022.04.05	58.3	63.4	56.5
2022.03.03	56.5	65.6	59.9
2022.02.03	59.9	66.1	62.3
2022.01.06	62.0	65.8	69.1
2021.12.03	69.1	64.6	66.7
2021.11.03	66.7	63.8	61.9
2021.10.05	61.9	63.5	61.7
2021.09.03	61.7	63.1	64.1
2021.08.04	64.1	62.3	60.1
2021.07.06	60.1	62.0	64.0
2021.06.03	64.0	58.2	62.7
2021.05.05	62.7	57.4	63.7
2021.04.05	63.7	56.9	55.3
2021.03.03	55.3	55.3	58.7
2021.02.03	58.7	54.2	57.7
2021.01.07	57.2	53.3	55.9
2020.12.03	55.9	52.9	56.6
2020.11.04	56.6	52.3	57.8
2020.10.05	57.8	51.8	56.9
2020.09.03	56.9	52.7	58.1
2020.08.05	58.1	51.8	57.1
2020.07.06	57.1	51.7	45.4
2020.06.03	45.4	53.0	41.8
2020.05.05	41.8	54.8	52.5
2020.04.03	52.5	55.1	57.3
2020.03.04	57.3	54.5	55.5
2020.02.05	55.5	54.2	54.9
2020.01.07	55.0	54.4	53.9
2019.12.04	53.9	54.5	54.7
2019.11.05	54.7	54.8	52.6
2019.10.03	52.6	55.5	56.4
2019.09.05	56.4	55.7	53.7
2019.08.05	53.7	56.4	55.1
2019.07.03	55.1	57.1	56.9
2019.06.05	56.9	57.4	55.5
2019.05.03	55.5	58.0	56.1
2019.04.03	56.1	58.7	59.7
2019.03.05	59.7	58.7	56.7
2019.02.05	56.7	60.0	58.0
2019.01.07	57.6	60.8	60.7
2018.12.06	60.7	59.9	60.3
2018.11.05	60.3	58.5	61.6
2018.10.03	61.6	57.8	58.5
2018.09.06	58.5	58.0	55.7
2018.08.03	55.7	58.2	59.1
2018.07.05	59.1	58.2	58.6
2018.06.05	58.6	58.7	56.8
2018.05.03	56.8	59.3	58.8
2018.04.04	58.8	58.4	59.5
2018.03.05	59.5	58.9	59.9
2018.02.05	59.9	58.8	56.0
2018.01.05	55.9	59.3	57.4
2017.12.05	57.4	60.3	60.1
2017.11.03	60.1	57.8	59.8
2017.10.04	59.8	55.8	55.3
2017.09.06	55.3	55.9	53.9
2017.08.03	53.9	56.9	57.4
2017.07.06	57.4	56.7	56.9
2017.06.05	56.9	55.9	57.5
2017.05.03	57.5	56.0	55.2
2017.04.05	55.2		57.6
2017.03.03	57.6		56.5
2017.02.03	56.5		57.2
2017.01.05	57.2		57.2
2016.12.05	57.2		54.8
2016.11.03	54.8		57.1
2016.10.05	57.1		51.4
2016.09.06	51.4		55.5
2016.08.03	55.5		56.5
2016.07.06	56.5		52.9
2016.06.03	52.9		55.7
2016.05.04	55.7		54.5
2016.04.05	54.5		53.4
2016.03.03	53.4		53.5
2016.02.03	53.5		55.3
2016.01.06	55.3		55.9
2015.12.03	55.9		59.1
2015.11.04	59.1		56.9
2015.10.05	56.9		59.0
2015.09.03	59.0		60.3
2015.08.05	60.3		56.0
2015.07.06	56.0		55.7
2015.06.03	55.7		57.8
2015.05.05	57.8		56.5
2015.04.06	56.5		56.9
2015.03.04	56.9		56.7
2015.02.04	56.7		56.2
2015.01.06	56.2		59.3
2014.12.03	59.3		57.1
2014.11.05	57.1		58.6
2014.10.03	58.6		59.6
2014.09.04	59.6		58.7
2014.08.05	58.7		56.0
2014.07.03	56.0		56.3
2014.06.04	56.3		55.2
2014.05.05	55.2		53.1
2014.04.03	53.1		51.6
2014.03.05	51.6		54.0
2014.02.05	54.0		53.0
2014.01.06	53.0		53.9
2013.12.04	53.9		55.4
2013.11.05	55.4		54.4
2013.10.03	54.4		58.6
2013.09.05	58.6		56.0
2013.08.05	56.0		52.2
2013.07.03	52.2		53.7
2013.06.05	53.7		53.1
2013.05.03	53.1		54.4
2013.04.03	54.4		56.0
2013.03.05	56.0		55.2
2013.02.05	55.2		56.1
2013.01.04	56.1		54.7
2012.12.05	54.7		54.2
2012.11.05	54.2		55.1
2012.10.03	55.1		53.7
2012.09.06	53.7		52.6
2012.08.03	52.6		52.1
2012.07.05	52.1		53.7
2012.06.05	53.7		53.5
2012.05.03	53.5		56.0
2012.04.04	56.0		57.3
2012.03.05	57.3		56.8
2012.02.03	56.8		52.6
2012.01.05	52.6		52.0
2011.12.05	52.0		52.9
2011.11.03	52.9		53.0
2011.10.05	53.0		53.3
2011.09.06	53.3		52.7
2011.08.03	52.7		53.3
2011.07.06	53.3		54.6
2011.06.03	54.6		52.8
2011.05.04	52.8		57.3
2011.04.05	57.3		59.7
2011.03.03	59.7		59.4
2011.02.03	59.4		57.1
2011.01.05	57.1		55.0
2010.12.03	55.0		54.3
2010.11.03	54.3		53.2
2010.10.05	53.2		51.5
2010.09.03	51.5		54.3
2010.08.04	54.3		53.8
2010.07.06	53.8		55.4
2010.06.03	55.4		55.4
2010.05.05	55.4		55.4
2010.04.05	55.4		53.0
2010.03.03	53.0		50.5
2010.02.03	50.5		50.1
2010.01.06	49.8		48.7
2009.12.03	48.7		50.6
2009.11.04	50.6		50.9
2009.10.05	50.9		48.4
2009.09.03	48.4		46.4
2009.08.05	46.4		47.0
2009.07.06	47.0		44.0
2009.06.03	44.0		43.7
2009.05.05	43.7		40.8
2009.04.03	40.8		41.6
2009.03.04	41.6		42.9
2009.02.04	42.9		40.6
2009.01.06	40.1		37.3
2008.12.03	37.3		44.4
2008.11.05	44.4		50.2
2008.10.03	50.2		50.6
2008.09.04	50.6		49.5
2008.08.05	49.5		48.2
2008.07.03	48.2		51.7
2008.06.04	51.7		52.0
2008.05.05	52.0		49.6
2008.04.03	49.6		49.3
2008.03.05	49.3		44.6
2008.02.05	44.6		53.9
2008.01.04	53.9		54.1
2007.12.05	54.1		55.8
2007.11.05	55.8		54.8
2007.10.03	54.8		55.8
2007.09.06	55.8		55.8
2007.08.03	55.8		60.7
2007.07.05	60.7		59.7
2007.06.05	59.7		56.0
2007.05.03	56.0		52.4
2007.04.04	52.4		54.3
2007.03.05	54.3		
