Date	ActualValue	ForecastValue	PreviousValue
2021.02.09	95.0	98.7	95.9
2021.01.12	95.9	102.8	101.4
2020.12.08	101.4	104.1	104.0
2020.11.10	104.0	102.2	104.0
2020.10.13	104.0	99.6	100.2
2020.09.08	100.2	98.0	98.8
2020.08.11	98.8	105.9	100.6
2020.07.14	100.6	93.7	94.4
2020.06.09	94.4	86.0	90.9
2020.05.12	90.9	96.9	96.4
2020.04.07	96.4	104.6	104.5
2020.03.10	104.5	104.5	104.3
2020.02.11	104.3	103.4	102.7
2020.01.14	102.7	103.1	104.7
2019.12.10	104.7	102.8	102.4
2019.11.12	102.4	103.5	101.8
2019.10.08	101.8	104.1	103.1
2019.09.10	103.1	104.2	104.7
2019.08.13	104.7	104.3	103.3
2019.07.09	103.3		105.0
2019.06.11	105.0		103.5
2019.05.14	103.5		101.8
2019.04.09	101.8		101.7
2019.03.12	101.7		101.2
2019.02.12	101.2		104.4
2019.01.08	104.4		104.8
2018.12.11	104.8		107.4
2018.11.13	107.4		107.9
2018.10.09	107.9		108.8
2018.09.11	108.8		107.9
2018.08.14	107.9		107.2
2018.07.10	107.2		107.8
2018.06.12	107.8		104.8
2018.05.08	104.8		104.7
2018.04.10	104.7		107.6
2018.03.13	107.6		106.9
2018.02.13	106.9		104.9
2018.01.09	104.9		107.5
2017.12.12	107.5		103.8
2017.11.14	103.8		103.0
2017.10.10	103.0		105.3
2017.09.12	105.3		105.2
2017.08.08	105.2		103.6
2017.07.11	103.6		104.5
2017.06.13	104.5		104.5
2017.05.09	104.5		104.7
2017.04.11	104.7		105.3
2017.03.14	105.3		105.9
2017.02.14	105.9		105.8
2017.01.10	105.8		98.4
2016.12.13	98.4		94.9
2016.11.08	94.9		94.1
2016.10.11	94.1		94.4
2016.09.13	94.4		94.6
2016.08.09	94.6		94.5
2016.07.12	94.5		93.8
2016.06.14	93.8		93.6
2016.05.10	93.6		92.6
2016.04.12	92.6		92.9
2016.03.08	92.9		93.9
2016.02.09	93.9		95.2
2016.01.12	95.2		94.8
2015.12.08	94.8		96.1
2015.11.10	96.1		96.1
2015.10.13	96.1		95.9
2015.09.08	95.9		95.4
2015.08.11	95.4		94.1
2015.07.14	94.1		98.3
2015.06.09	98.3		96.9
2015.05.12	96.9		95.2
2015.04.14	95.2		98.0
2015.03.10	98.0		97.9
2015.02.10	97.9		100.4
2015.01.13	100.4		98.1
2014.12.09	98.1		96.1
2014.11.11	96.1		95.3
2014.10.14	95.3		96.1
2014.09.09	96.1		95.7
2014.08.12	95.7		95.0
2014.07.08	95.0		96.6
2014.06.10	96.6		95.2
2014.05.13	95.2		93.4
2014.04.08	93.4		91.4
2014.03.11	91.4		94.1
2014.02.11	94.1		93.9
2014.01.14	93.9		92.5
2013.12.10	92.5		91.6
2013.11.12	91.6		93.9
2013.10.08	93.9		94.0
2013.09.10	94.0		94.1
2013.08.13	94.1		93.5
2013.07.09	93.5		94.4
2013.06.11	94.4		92.1
2013.05.14	92.1		89.5
2013.04.09	89.5		90.8
2013.03.12	90.8		88.9
2013.02.12	88.9		88.0
2013.01.08	88.0		87.5
2012.12.11	87.5		93.1
2012.11.13	93.1		92.8
2012.10.09	92.8		92.9
2012.09.11	92.9		91.2
2012.08.14	91.2		91.4
2012.07.10	91.4		94.4
2012.06.12	94.4		94.5
2012.05.08	94.5		92.5
2012.04.10	92.5		94.3
2012.03.13	94.3		93.9
2012.02.14	93.9		93.8
2012.01.10	93.8		92.0
2011.12.13	92.0		90.2
2011.11.08	90.2		88.9
2011.10.11	88.9		88.1
2011.09.13	88.1		89.9
2011.08.09	89.9		90.8
2011.07.12	90.8		90.9
2011.06.14	90.9		91.2
2011.05.10	91.2		91.9
2011.04.12	91.9		94.5
2011.03.08	94.5		
