Date	ActualValue	ForecastValue	PreviousValue
2022.08.05	528	-19	398
2022.07.08	372	-229	384
2022.06.03	390	-19	436
2022.05.06	428	317	428
2022.04.01	431	80	750
2022.03.04	678	-413	481
2022.02.04	467	-192	510
2022.01.07	199	379	249
2021.12.03	210	330	546
2021.11.05	531	-54	312
2021.10.08	194	-302	366
2021.09.03	235	23	1053
2021.08.06	943	381	938
2021.07.02	850	3	583
2021.06.04	559	-396	278
2021.05.07	266	-1	770
2021.04.02	916	409	468
2021.03.05	379	-137	166
2021.02.05	49	-497	-227
2021.01.08	-140	207	336
2020.12.04	245	528	610
2020.11.06	638	-76324	672
2020.10.02	661	78356	1489
2020.09.04	1371	-74433	1734
2020.08.07	1763	4511	4791
2020.07.02	4800	-12034	2699
2020.06.05	2509	-10000	-20687
2020.05.08	-20500	139	-870
2020.04.03	-701	163	275
2020.03.06	273	161	273
2020.02.07	225	161	147
2020.01.10	145	168	256
2019.12.06	266	168	156
2019.11.01	128	172	180
2019.10.04	136	174	168
2019.09.06	130	177	159
2019.08.02	164	178	193
2019.07.05	224	176	72
2019.06.07	75	170	224
2019.05.03	263	167	189
2019.04.05	196	176	33
2019.03.08	20	173	311
2019.02.01	304	168	222
2019.01.04	312	170	176
2018.12.07	155	169	237
2018.11.02	250	167	118
2018.10.05	134	160	270
2018.09.07	201	161	147
2018.08.03	157	160	248
2018.07.06	213	158	244
2018.06.01	223	166	159
2018.05.04	164	168	135
2018.04.06	103	166	326
2018.03.09	313	159	239
2018.02.02	200	157	160
2018.01.05	148	159	252
2017.12.08	228	159	244
2017.11.03	261	159	18
2017.10.06	-33	172	169
2017.09.01	156	177	189
2017.08.04	209	176	231
2017.07.07	222	172	152
2017.06.02	138	174	174
2017.05.05	211	171	79
2017.04.07	98		219
2017.03.10	235		238
2017.02.03	227		157
2017.01.06	156		204
2016.12.02	178		142
2016.11.04	161		191
2016.10.07	156		167
2016.09.02	151		275
2016.08.05	255		292
2016.07.08	287		11
2016.06.03	38		123
2016.05.06	160		208
2016.04.01	215		245
2016.03.04	242		172
2016.02.05	151		262
2016.01.08	292		252
2015.12.04	211		298
2015.11.06	271		137
2015.10.02	142		136
2015.09.04	173		245
2015.08.07	215		231
2015.07.02	223		254
2015.06.05	280		221
2015.05.08	223		85
2015.04.03	126		295
2015.03.06	264		239
2015.02.06	201		252
2015.01.09	329		321
2014.12.05	353		214
2014.11.07	243		248
2014.10.03	256		142
2014.09.05	180		209
2014.08.01	212		288
2014.07.03	298		217
2014.06.06	224		288
2014.05.02	282		192
2014.04.04	203		175
2014.03.07	197		113
2014.02.07	129		74
2014.01.10	75		241
2013.12.06	241		204
2013.11.08	200		148
2013.10.22	163		169
2013.09.06	193		162
2013.08.02	104		195
2013.07.05	188		175
2013.06.07	176		165
2013.05.03	165		88
2013.04.05	138		236
2013.03.08	268		157
2013.02.01	119		155
2013.01.04	196		146
2012.12.07	161		171
2012.11.02	138		114
2012.10.05	148		96
2012.09.07	142		163
2012.08.03	141		64
2012.07.06	45		77
2012.06.01	87		87
2012.05.04	77		120
2012.04.06	154		227
2012.03.09	240		284
2012.02.03	275		200
2012.01.06	203		100
2011.12.02	100		80
2011.11.04	100		158
2011.10.07	210		57
2011.09.02	104		85
2011.08.05	127		18
2011.07.08	46		54
2011.06.03	25		244
2011.05.06	232		216
2011.04.01	221		192
2011.03.04	194		36
2011.02.04	63		103
2011.01.07	121		39
2010.12.03	71		151
2010.11.05	172		-95
2010.10.08	-41		-54
2010.09.03	-57		-131
2010.08.06	-54		-125
2010.07.02	-221		431
2010.06.04	433		290
2010.05.07	290		162
2010.04.02	230		-36
2010.03.05	-14		-20
2010.02.05	-26		-85
2010.01.08	-150		-11
2009.12.04	4		-190
2009.11.06	-111		-263
2009.10.02	-219		-216
2009.09.04	-201		-247
2009.08.07	-276		-467
2009.07.02	-467		-345
2009.06.05	-322		-539
2009.05.08	-504		-663
2009.04.03	-699		-651
2009.03.06	-651		-598
2009.02.06	-655		-524
2009.01.09	-577		-533
2008.12.05	-584		-240
2008.11.07	-320		-159
2008.10.03	-284		-84
2008.09.05	-73		-51
2008.08.01	-51		-62
2008.07.03	-51		-49
2008.06.06	-49		-20
2008.05.02	-28		-80
2008.04.04	-80		-63
2008.03.07	-76		-17
2008.02.01	-22		18
2008.01.04	82		94
2007.12.07	115		166
2007.11.02	170		110
2007.10.05	96		-4
2007.09.07	93		92
2007.08.03	68		132
2007.07.06	69		157
2007.06.01	190		88
2007.05.04	80		180
2007.04.06	177		97
2007.03.09	97		111
