Date	ActualValue	ForecastValue	PreviousValue
2022.08.15	-31.3	4.9	11.1
2022.07.15	11.1	-6.3	-1.2
2022.06.15	-1.2	6.5	-11.6
2022.05.16	-11.6	6.4	24.6
2022.04.15	24.6	-4.3	-11.8
2022.03.15	-11.8	1.2	3.1
2022.02.15	3.1	15.5	-0.7
2022.01.18	-0.7	31.6	31.9
2021.12.15	31.9	25.5	30.9
2021.11.15	30.9	26.9	19.8
2021.10.15	19.8	26.6	34.3
2021.09.15	34.3	30.5	18.3
2021.08.16	18.3	31.1	43.0
2021.07.15	43.0	20.7	17.4
2021.06.15	17.4	25.3	24.3
2021.05.17	24.3	21.9	26.3
2021.04.15	26.3	14.6	17.4
2021.03.15	17.4	7.7	12.1
2021.02.16	12.1	4.1	3.5
2021.01.15	3.5	5.5	4.9
2020.12.15	4.9	8.3	6.3
2020.11.16	6.3	-10.7	10.5
2020.10.15	10.5	-13.3	17.0
2020.09.15	17.0	6.1	3.7
2020.08.17	3.7	-14.1	17.2
2020.07.15	17.2	-24.1	-0.2
2020.06.15	-0.2	-65.7	-48.5
2020.05.15	-48.5	-59.0	-78.2
2020.04.15	-78.2	-4.2	-21.5
2020.03.16	-21.5	8.7	12.9
2020.02.18	12.9	4.1	4.8
2020.01.15	4.8	3.1	3.3
2019.12.16	3.5	3.4	2.9
2019.11.15	2.9	2.9	4.0
2019.10.15	4.0	2.7	2.0
2019.09.16	2.0	1.1	4.8
2019.08.15	4.8	4.7	4.3
2019.07.15	4.3	7.2	-8.6
2019.06.17	-8.6	13.8	17.8
2019.05.15	17.8	6.2	10.1
2019.04.15	10.1	6.2	3.7
2019.03.15	3.7	7.3	8.8
2019.02.15	8.8	7.3	3.9
2019.01.15	3.9	13.3	11.5
2018.12.17	10.9	8.4	23.3
2018.11.15	23.3	8.2	21.1
2018.10.15	21.1	8.6	19.0
2018.09.17	19.0	8.6	25.6
2018.08.15	25.6	9.3	22.6
2018.07.16	22.6	9.2	25.0
2018.06.15	25.0	9.7	20.1
2018.05.15	20.1	9.7	15.8
2018.04.16	15.8	10.5	22.5
2018.03.15	22.5	10.8	13.1
2018.02.15	13.1	11.5	17.7
2018.01.16	17.7	11.3	19.6
2017.12.15	18.0	10.6	19.4
2017.11.15	19.4	12.3	30.2
2017.10.16	30.2	10.3	24.4
2017.09.15	24.4	9.1	25.2
2017.08.15	25.2		9.8
2017.07.17	9.8		19.8
2017.06.15	19.8		-1.0
2017.05.15	-1.0		5.2
2017.04.17	5.2		16.4
2017.03.15	16.4		18.7
2017.02.15	18.7		6.5
2017.01.17	6.5		9.0
2016.12.15	9.0		1.5
2016.11.15	1.5		-6.8
2016.10.17	-6.8		-2.0
2016.09.15	-2.0		-4.2
2016.08.15	-4.2		0.6
2016.07.15	0.6		6.0
2016.06.15	6.0		-9.0
2016.05.16	-9.0		9.6
2016.04.15	9.6		0.6
2016.03.15	0.6		-16.6
2016.02.16	-16.6		-19.4
2016.01.15	-19.4		-6.2
2015.12.15	-4.6		-10.7
2015.11.16	-10.7		-11.4
2015.10.15	-11.4		-14.7
2015.09.15	-14.7		-14.9
2015.08.17	-14.9		3.9
2015.07.15	3.9		-2.0
2015.06.15	-2.0		3.1
2015.05.15	3.1		-1.2
2015.04.15	-1.2		6.9
2015.03.16	6.9		7.8
2015.02.17	7.8		10.0
2015.01.15	10.0		-3.6
2014.12.15	-1.2		10.2
2014.11.17	10.2		6.2
2014.10.15	6.2		27.5
2014.09.15	27.5		14.7
2014.08.15	14.7		25.6
2014.07.15	25.6		19.3
2014.06.16	19.3		19.0
2014.05.15	19.0		1.3
2014.04.15	1.3		5.6
2014.03.17	5.6		4.5
2014.02.18	4.5		12.5
2014.01.15	12.5		1.0
2013.12.16	2.2		-2.2
2013.11.15	-2.2		1.5
2013.10.15	1.5		6.3
2013.09.16	6.3		8.2
2013.08.15	8.2		9.5
2013.07.15	9.5		7.8
2013.06.17	7.8		-1.4
2013.05.15	-1.4		3.1
2013.04.15	3.1		9.2
2013.03.15	9.2		10.0
2013.02.15	10.0		-7.8
2013.01.15	-7.8		-8.1
2012.12.17	-8.1		-5.2
2012.11.15	-5.2		-6.2
2012.10.15	-6.2		-10.4
2012.09.17	-10.4		-5.9
2012.08.15	-5.9		7.4
2012.07.16	7.4		2.3
2012.06.15	2.3		17.1
2012.05.15	17.1		6.6
2012.04.16	6.6		20.2
