Date	ActualValue	ForecastValue	PreviousValue
2022.08.26	6.3	7.4	6.8
2022.07.29	6.8	6.7	6.3
2022.06.30	6.3	6.4	6.3
2022.05.27	6.3	6.6	6.6
2022.04.29	6.6	6.5	6.3
2022.03.31	6.4	6.7	6.0
2022.02.25	6.1	5.5	5.8
2022.01.28	5.8	6.1	5.7
2021.12.23	5.7	5.6	5.1
2021.11.24	5.0	4.6	4.4
2021.10.29	4.4	4.7	4.2
2021.10.01	4.3	3.9	4.2
2021.08.27	4.2	3.5	4.0
2021.07.30	4.0	3.4	4.0
2021.06.25	3.9	4.0	3.6
2021.05.28	3.6	2.2	2.4
2021.04.30	2.3	1.6	1.5
2021.03.26	1.6	1.6	1.4
2021.02.26	1.5	1.1	1.3
2021.01.29	1.3	0.9	1.1
2020.12.23	1.1	1.2	1.2
2020.11.25	1.2	1.5	1.4
2020.10.30	1.4	1.3	1.3
2020.10.01	1.4	1.1	1.1
2020.08.28	1.0	1.2	0.9
2020.07.31	0.8	0.5	0.5
2020.06.26	0.5	-0.2	0.6
2020.05.29	0.5	1.1	1.3
2020.04.30	1.3	1.9	1.8
2020.03.27	1.8	1.6	1.8
2020.02.28	1.7	1.7	1.5
2020.01.31	1.6	1.7	1.4
2019.12.20	1.5	1.3	1.4
2019.11.27	1.3	1.2	1.3
2019.10.31	1.3	1.4	1.4
2019.09.27	1.4	1.3	1.4
2019.08.30	1.4	1.3	1.3
2019.07.30	1.4	1.7	1.4
2019.06.28	1.5	1.5	1.6
2019.05.31	1.5	1.5	1.4
2019.04.29	1.5	1.3	1.3
2019.04.29	1.3	1.2	1.4
2019.03.29	1.4	1.7	1.8
2019.03.01	1.7	1.8	1.8
2018.12.21	1.8	1.9	2.0
2018.11.29	2.0	1.9	2.0
2018.10.29	2.0	2.1	2.2
2018.09.28	2.2	2.3	2.3
2018.08.30	2.3	2.2	2.2
2018.07.31	2.2	2.2	2.2
2018.06.29	2.3	2.0	2.0
2018.05.31	2.0	1.9	2.0
2018.04.30	2.0	1.8	1.7
2018.03.29	1.8	1.7	1.7
2018.03.01	1.7	1.6	1.7
2018.01.29	1.7	1.9	1.8
2017.12.22	1.8	1.7	1.6
2017.11.30	1.6	1.5	1.7
2017.10.30	1.6	1.2	1.4
2017.09.29	1.4	1.3	1.4
2017.08.31	1.4	1.4	1.4
2017.08.01	1.4	1.4	1.5
2017.06.30	1.4	1.5	1.7
2017.05.30	1.7	1.9	1.9
2017.05.01	1.8		2.1
2017.03.31	2.1		1.9
2017.03.01	1.9		1.6
2017.01.30	1.6		1.4
2016.12.22	1.4		1.4
2016.11.30	1.4		1.2
2016.10.31	1.2		1.0
2016.09.30	1.0		0.8
2016.08.29	0.8		0.9
2016.08.02	0.9		0.9
2016.06.29	0.9		1.1
2016.05.31	1.1		0.8
2016.04.29	0.8		1.0
2016.03.28	1.0		1.2
2016.02.26	1.3		0.6
2016.02.01	0.6		0.4
2015.12.23	0.4		0.2
2015.11.25	0.2		0.2
2015.10.30	0.2		0.3
2015.09.28	0.3		0.3
2015.08.28	0.3		0.3
2015.08.03	0.3		0.2
2015.06.25	0.2		0.2
2015.06.01	0.1		0.3
2015.04.30	0.3		0.3
2015.03.30	0.3		0.2
2015.03.02	0.2		0.7
2015.02.02	0.8		1.2
2014.12.23	1.2		1.4
2014.11.26	1.4		1.4
2014.10.31	1.4		1.5
2014.09.29	1.5		1.6
2014.08.29	1.6		1.6
2014.08.01	1.6		1.8
2014.06.26	1.8		1.6
2014.05.30	1.6		1.1
2014.05.01	1.1		0.9
2014.03.28	0.9		1.2
2014.03.03	1.2		1.1
2014.01.31	1.1		0.9
2013.12.23	0.9		0.7
2013.12.06	0.7		0.9
2013.11.08	0.9		1.2
2013.09.27	1.2		1.4
2013.08.30	1.3		1.3
2013.08.02	1.3		1.0
2013.06.27	1.1		0.7
2013.05.31	0.7		1.0
2013.04.29	1.0		1.3
2013.03.29	1.3		1.2
2013.03.01	1.2		1.3
2013.01.31	1.4		1.4
2012.12.21	1.4		1.7
2012.11.30	1.7		1.7
2012.10.29	1.6		1.5
2012.09.28	1.5		1.3
2012.08.30	1.3		1.5
2012.07.31	1.5		1.5
2012.06.29	1.5		1.8
2012.06.01	1.9		2.1
2012.04.30	2.1		2.3
2012.03.30	2.3		2.4
2012.03.01	2.4		2.4
2012.01.30	2.5		2.4
2011.12.23	2.6		2.7
2011.11.23	2.7		2.9
2011.10.28	2.9		2.9
2011.09.30	2.9		2.8
2011.08.29	2.8		2.6
2011.08.02	2.6		2.5
2011.06.27	2.6		2.2
2011.05.27	2.2		1.8
2011.04.29	1.8		1.6
2011.03.28	1.6		1.2
2011.02.28	1.2		1.3
2010.11.24	1.2		1.4
2010.11.01	1.4		1.5
2010.10.01	1.4		1.5
2010.08.30	1.5		1.4
2010.08.03	1.4		1.9
2010.06.28	1.9		2.0
2010.05.28	2.0		2.0
2010.05.03	2.0		1.8
2010.03.29	1.8		2.1
2010.03.01	2.1		2.1
2010.02.01	2.1		1.5
2009.12.23	1.5		0.2
2009.11.25	0.2		-0.5
2009.10.30	-0.6		-0.5
2009.10.01	-0.5		-0.8
2009.08.28	-0.8		-0.4
2009.08.04	-0.4		0.1
2009.06.26	-0.2		0.4
2009.06.01	0.5		0.6
2009.04.30	0.6		1.0
2009.03.27	0.9		0.7
2009.03.02	0.8		0.6
2009.02.02	0.8		1.4
2008.12.24	1.4		
