Date	ActualValue	ForecastValue	PreviousValue
2022.07.15	8.5	8.2	8.1
2022.06.15	8.1	7.6	7.8
2022.05.17	8.2	12.3	7.3
2022.04.14	6.9	15.7	18.2
2022.03.16	17.6	15.2	14.0
2022.02.16	13.0	18.0	16.7
2022.01.14	17.0	17.6	18.2
2021.12.15	18.2	15.2	16.3
2021.11.16	16.0	14.6	13.9
2021.10.15	13.8	15.6	15.1
2021.09.16	14.9	29.1	15.8
2021.08.17	15.8	33.0	18.7
2021.07.16	18.0	36.6	27.6
2021.06.15	28.1	55.8	53.4
2021.05.14	51.2	19.8	29.0
2021.04.15	27.7	6.9	6.7
2021.03.16	6.3	5.2	9.5
2021.02.17	7.4	3.5	2.5
2021.01.15	2.9	4.9	3.7
2020.12.16	4.1	-0.2	5.5
2020.11.17	5.7	-2.8	5.9
2020.10.16	5.4	-2.9	2.8
2020.09.16	2.6	-5.5	2.4
2020.08.14	2.7	-2.3	2.1
2020.07.16	1.1	-4.2	-5.6
2020.06.16	-6.1	-43.3	-19.9
2020.05.15	-21.6	-9.1	-5.7
2020.04.15	-6.2	4.4	4.6
2020.03.17	4.3	5.1	5.0
2020.02.14	4.4	4.6	5.5
2020.01.16	5.8	3.2	3.3
2019.12.13	3.3	3.6	3.2
2019.11.15	3.1	4.1	4.1
2019.10.16	4.1	3.8	4.4
2019.09.13	4.1		3.6
2019.08.15	3.4		3.3
2019.07.16	3.4		2.9
2019.06.14	3.2		3.7
2019.05.15	3.1		3.8
2019.04.18	3.6		2.2
2019.04.01	2.2		2.8
2019.03.11	2.3		1.6
2019.02.14	2.3		4.1
2018.12.14	4.2		4.8
2018.11.15	4.6		4.2
2018.10.15	4.7		6.5
2018.09.14	6.6		6.7
2018.08.15	6.4		6.1
2018.07.16	6.6		6.5
2018.06.14	5.9		4.8
2018.05.15	4.7		4.9
2018.04.16	4.5		4.1
2018.03.14	4.0		3.9
2018.02.14	3.6		5.2
2018.01.12	5.4		6.0
2017.12.14	5.8		4.9
2017.11.15	4.6		4.8
2017.10.13	4.4		3.5
2017.09.15	3.2		3.5
2017.08.15	4.2		3.4
2017.07.14	2.8		4.1
2017.06.14	3.8		4.6
2017.05.12	4.5		4.8
2017.04.14	5.2		5.1
2017.03.15	5.7		6.0
2017.02.15	5.6		4.4
2017.01.13	4.1		3.9
2016.12.14	3.8		4.2
2016.11.15	4.3		3.2
2016.10.14	2.7		2.1
2016.09.15	1.9		2.4
2016.08.12	2.3		3.0
2016.07.15	2.7		2.2
2016.06.14	2.5		3.0
2016.05.13	3.0		1.7
2016.04.13	1.7		3.7
2016.03.15	3.1		3.0
2016.02.12	3.4		2.4
2016.01.15	2.2		1.6
2015.12.11	1.4		1.7
2015.11.13	1.7		2.2
2015.10.14	2.4		2.0
2015.09.15	2.2		2.6
2015.08.13	2.4		1.8
2015.07.14	1.4		2.3
2015.06.11	2.7		1.5
2015.05.13	0.9		1.7
2015.04.14	1.3		1.9
2015.03.12	1.7		3.6
2015.02.12	3.3		3.3
2015.01.14	3.2		4.7
2014.12.11	5.1		4.5
2014.11.14	4.1		4.4
2014.10.15	4.3		5.0
