Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	-79.614	-86.787	-84.906
2022.07.07	-85.546	-97.217	-86.686
2022.06.07	-87.077	-100.875	-107.651
2022.05.04	-109.802	-90.055	-89.799
2022.04.05	-89.185	-85.834	-89.229
2022.03.08	-89.692	-80.829	-81.957
2022.02.08	-80.731	-73.992	-79.331
2022.01.06	-80.172	-74.117	-67.116
2021.12.07	-67.116	-77.480	-81.435
2021.11.04	-80.934	-71.858	-73.252
2021.10.05	-73.252	-73.048	-70.051
2021.09.02	-70.051	-73.764	-73.230
2021.08.05	-75.749	-70.241	-70.994
2021.07.02	-71.240	-71.804	-69.071
2021.06.08	-68.899	-73.012	-75.025
2021.05.04	-74.448	-69.820	-70.518
2021.04.07	-71.078	-67.530	-67.823
2021.03.05	-68.213	-67.466	-66.969
2021.02.05	-66.613	-65.749	-69.005
2021.01.07	-68.142	-63.519	-63.111
2020.12.04	-63.123	-65.523	-62.083
2020.11.04	-63.862	-65.429	-67.036
2020.10.06	-67.102	-57.159	-63.370
2020.09.03	-63.556	-52.514	-53.461
2020.08.05	-50.695	-51.914	-54.801
2020.07.02	-54.601	-46.773	-49.756
2020.06.04	-49.408	-42.005	-42.340
2020.05.05	-44.415	-42.436	-39.810
2020.04.02	-39.932	-46.933	-45.482
2020.03.06	-45.338	-45.839	-48.613
2020.02.05	-48.880	-44.952	-43.691
2020.01.07	-43.086	-45.283	-46.939
2019.12.05	-47.199	-52.193	-51.100
2019.11.05	-52.450	-58.869	-55.036
2019.10.04	-54.896	-59.206	-54.035
2019.09.04	-53.989	-59.155	-55.508
2019.08.02	-55.154	-56.687	-55.344
2019.07.03	-55.520	-50.253	-51.224
2019.06.06	-50.791	-52.288	-51.906
2019.05.09	-50.002	-53.075	-49.285
2019.04.17	-49.382	-53.403	-51.134
2019.03.27	-51.149	-52.890	-59.900
2019.03.06	-59.769	-51.186	-50.297
2019.02.06	-49.313	-49.963	-55.699
2018.12.06	-55.488	-48.157	-54.555
2018.11.02	-54.019	-47.388	-53.309
2018.10.05	-53.237	-47.697	-50.037
2018.09.05	-50.082	-49.328	-45.739
2018.08.03	-46.348	-51.085	-43.186
2018.07.06	-43.053	-52.295	-46.081
2018.06.06	-46.199	-52.245	-47.210
2018.05.03	-48.956	-50.987	-57.743
2018.04.05	-57.591	-48.315	-56.665
2018.03.07	-56.601	-46.007	-53.908
2018.02.06	-53.118	-44.568	-50.435
2018.01.05	-50.497	-45.192	-48.914
2017.12.05	-48.731	-44.906	-44.890
2017.11.03	-43.495	-44.942	-42.765
2017.10.05	-42.395	-44.611	-43.558
2017.09.06	-43.689	-44.776	-43.543
2017.08.04	-43.642	-45.083	-46.391
2017.07.06	-46.507	-44.732	-47.585
2017.06.02	-47.617	-44.958	-45.283
2017.05.04	-43.706	-45.266	-43.760
2017.04.04	-43.557		-48.173
2017.03.07	-48.500		-44.300
2017.02.07	-44.300		-45.700
2017.01.06	-45.200		-42.400
2016.12.06	-42.600		-36.200
2016.11.04	-36.440		-40.460
2016.10.05	-40.700		-39.500
2016.09.02	-39.470		-44.660
2016.08.05	-44.500		-41.000
2016.07.06	-41.140		-37.380
2016.06.03	-37.400		-35.500
2016.05.04	-40.400		-47.000
2016.04.05	-47.060		-45.680
2016.03.04	-45.680		-44.700
2016.02.05	-43.360		-42.230
2016.01.06	-42.400		-44.600
2015.12.04	-43.890		-42.460
2015.11.04	-40.800		-48.000
2015.10.06	-48.330		-41.810
2015.09.03	-41.860		-45.210
2015.08.05	-43.840		-40.940
2015.07.07	-41.870		-40.700
2015.06.03	-40.880		-50.570
2015.05.05	-51.370		-35.890
2015.04.02	-35.400		-41.800
2015.03.06	-42.680		-46.560
2015.02.05	-45.600		-39.000
2015.01.07	-39.750		-43.400
2014.12.05	-42.250		-43.030
2014.11.04	-43.600		-40.100
2014.10.03	-39.990		-40.550
2014.09.04	-40.300		-41.540
2014.08.06	-40.810		-44.660
2014.07.03	-44.660		-47.240
2014.06.04	-47.040		-40.380
2014.05.06	-44.180		-42.300
2014.04.03	-41.870		-39.100
2014.03.07	-39.100		-38.700
2014.02.06	-38.980		-34.250
2014.01.07	-34.560		-40.640
2013.12.04	-39.330		-41.780
2013.11.14	-42.970		-38.800
2013.10.24	-38.700		-39.150
2013.09.04	-38.640		-34.220
2013.08.06	-34.540		-45.030
2013.07.03	-44.100		-40.290
2013.06.04	-40.150		-38.800
2013.05.02	-37.130		-43.000
2013.04.05	-43.600		-44.450
2013.03.07	-44.450		-38.540
2013.02.08	-38.140		-48.730
2013.01.11	-48.610		-42.240
2012.12.11	-42.060		-41.550
2012.11.08	-40.280		-44.220
2012.10.11	-43.790		-42.000
2012.09.11	-42.470		-42.920
2012.08.09	-41.900		-48.680
2012.07.11	-48.040		-50.060
2012.06.08	-50.600		-51.830
2012.05.10	-52.620		-46.030
2012.04.12	-45.420		-52.570
2012.03.09	-52.520		-48.800
2012.02.10	-50.420		-47.750
2012.01.13	-47.060		-43.500
2011.12.09	-43.270		-43.100
2011.11.10	-44.170		-45.610
2011.10.13	-44.920		-44.800
2011.09.08	-45.630		-53.070
2011.08.11	-51.600		-50.230
2011.07.12	-50.830		-43.680
2011.06.09	-43.630		-48.180
2011.05.11	-46.820		-45.760
2011.04.12	-45.440		-46.340
2011.03.10	-46.970		-40.580
2011.02.11	-40.260		-38.310
2011.01.13	-38.320		-38.710
2010.12.10	-38.420		-44.000
2010.11.10	-44.600		-46.350
2010.10.14	-46.480		-42.780
2010.09.09	-42.580		-49.900
2010.08.11	-49.760		-42.270
2010.07.13	-41.980		-40.300
2010.06.10	-40.320		-40.400
2010.05.12	-40.400		-39.700
2010.04.13	-39.400		-37.290
2010.03.11	-37.000		-40.200
2010.02.10	-39.900		-36.400
2010.01.12	-36.400		-32.900
2009.12.10	-33.200		-36.500
2009.11.13	-35.650		-30.700
2009.10.09	-30.800		-31.960
2009.09.10	-31.850		-27.010
2009.08.12	-27.490		-25.960
2009.07.10	-25.970		-29.160
2009.06.10	-28.790		-27.580
2009.05.12	-28.530		-25.970
2009.04.09	-26.130		-36.030
2009.03.13	-36.200		-39.930
2009.02.11	-39.900		-40.440
2009.01.13	-41.580		-57.190
2008.12.11	-56.690		-56.470
2008.11.13	-56.560		-59.140
2008.10.10	-59.080		-62.200
2008.09.11	-61.310		-56.800
2008.08.12	-58.800		-59.790
2008.07.11	-59.200		-60.900
2008.06.10	-60.500		-58.210
2008.05.09	-56.490		-62.320
2008.04.10	-61.710		-58.200
2008.03.11	-58.960		-58.760
2008.02.14	-57.900		-63.120
2008.01.11	-63.120		-57.820
2007.12.12	-57.820		-56.450
2007.11.09	-57.120		-57.590
2007.10.11	-56.800		-59.250
2007.09.11	-59.000		-58.140
2007.08.14	-59.430		-60.040
2007.07.12	-59.160		-58.500
2007.06.08	-58.500		-63.890
2007.05.10	-62.390		-58.440
2007.04.13	-57.890		-59.120
2007.03.09	-58.880		-61.180
2007.02.13	-61.450		-58.200
