Date,PPI-yy US,CPI-yy US,ism-manufacturing-pmi US,ism-non-manufacturing-pmi US,cb-consumer-confidence US,nfib-small-business-optimism US,retail-sales-yy US,retail-sales-ex-autos-mm US,durable-goods-orders US,nonfarm-payrolls US,industrial-production-mm US,trade-balance US,housing-starts US,new-home-sales US,building-permits US,existing-home-sales US,unemployment-rate US,adp-nonfarm-employment-change US,ny-empire-state-manufacturing-index US,chicago-pmi US,capacity-utilization US,factory-orders US,durable-goods-orders-ex-transportation US,business-inventories-mm US,pce-price-index-yy US,pce-price-index-mm US,core-pce-price-index-yy US,core-pce-price-index-mm US,average-hourly-earnings US,adp-nonfarm-employment US,PPI EuroZone,CPI EuroZone,manufacturing-pmi EuroZone,services-pmi EuroZone,consumer-confidence EuroZone,business-and-consumer-survey EuroZone,retail-sales EuroZone,industrial-production EuroZone,trade-balance EuroZone,unemployment-rate EuroZone,markit-composite-pmi EuroZone,ecb-deposit-rate-decision EuroZone,zew-indicator-of-economic-sentiment EuroZone,fed-interest-rate-decision US,ecb-interest-rate-decision EuroZone,boe-interest-rate-decision UK,snb-interest-rate-decision Switzerland,EUR/USD
2022-06,10.8,8.6,56.1,55.9,98.7,89.5,8.1,0.5,0.7,390.0,0.2,-87.077,1.549,0.696,1.695,5.41,3.6,128.0,-1.2,56.0,79.0,0.3,0.7,1.2,6.3,0.6,4.7,0.3,0.3,128.0,37.2,8.1,54.6,52.8,-23.6,104.0,3.9,-2.0,-31.7,6.6,51.9,-0.5,-28.0,1.75,0.0,1.25,-0.25,1.044659
2022-05,11.0,8.3,55.4,57.1,106.4,93.1,8.2,0.6,0.4,428.0,1.1,-109.802,1.724,0.591,1.819,5.61,3.6,247.0,-11.6,60.3,79.0,2.2,0.3,2.0,6.3,0.2,4.9,0.3,0.3,247.0,36.8,7.4,54.4,57.7,-21.1,105.0,0.8,-0.8,-17.6,6.8,54.9,-0.5,-29.5,1.0,0.0,1.0,-0.25,1.077354
2022-04,11.2,8.5,57.1,58.3,107.3,93.2,6.9,1.1,0.8,431.0,0.9,-89.185,1.793,0.763,1.873,5.77,3.6,351.0,24.6,56.4,78.3,-0.5,1.1,1.5,6.6,0.9,5.2,0.3,0.4,351.0,31.4,7.5,55.3,55.6,-16.9,105.0,5.0,2.0,-9.4,6.8,55.8,-0.5,-43.0,1.0,0.0,1.0,-0.25,1.05463
2022-03,10.0,7.9,58.6,56.5,107.2,93.2,17.6,0.2,-2.2,678.0,0.5,-89.692,1.769,0.772,1.859,6.02,3.8,455.0,-11.8,62.9,77.6,1.4,-0.6,1.1,6.4,0.6,5.4,0.4,0.0,455.0,30.6,5.9,57.0,55.5,-18.7,108.5,7.8,-1.3,-7.7,6.8,54.5,-0.5,-38.7,0.5,0.0,0.75,-0.75,1.116184
2022-02,9.7,7.5,57.6,59.9,110.5,95.7,13.0,3.3,1.6,467.0,1.4,-80.731,1.638,0.801,1.899,6.5,4.0,-301.0,3.1,56.3,77.6,-0.4,0.7,2.1,6.1,0.6,5.2,0.5,0.7,-301.0,26.2,5.1,58.4,51.1,-8.8,114.0,2.0,1.6,-9.7,7.0,55.8,-0.5,48.6,0.5,0.0,0.5,-0.75,1.118105
2022-01,9.7,7.0,58.7,62.0,113.8,97.1,17.0,-2.3,-0.9,199.0,-0.1,-80.172,1.702,0.811,1.873,6.18,3.9,807.0,-0.7,65.2,76.5,1.6,0.4,1.3,5.8,0.4,4.9,0.5,0.6,807.0,23.7,5.0,58.0,53.1,-8.5,112.7,7.8,-1.5,-1.3,7.2,52.4,-0.5,49.4,0.25,0.0,0.5,-0.75,1.115237
2021-12,9.6,6.8,61.1,69.1,115.8,95.9,18.2,0.3,2.5,210.0,0.5,-67.116,1.679,0.744,1.712,6.46,4.2,534.0,31.9,63.1,76.8,1.0,0.8,1.2,5.7,0.6,4.7,0.5,0.3,534.0,21.9,4.9,58.0,55.9,-8.3,115.3,1.4,3.3,2.4,7.3,53.4,-0.5,26.8,0.25,0.0,0.25,-0.75,1.132503
2021-11,8.6,6.2,60.8,66.7,109.5,98.4,16.0,1.7,-0.5,531.0,1.6,-80.934,1.52,0.745,1.65,6.34,4.6,571.0,30.9,61.8,76.4,0.2,0.5,0.7,5.0,0.6,4.1,0.4,0.4,571.0,16.0,4.9,58.6,56.6,-6.8,117.5,2.5,5.2,6.1,7.4,54.2,-0.5,25.9,0.25,0.0,0.1,-0.75,1.129344
2021-10,8.6,5.4,61.1,61.9,113.8,98.2,13.8,0.8,-0.4,194.0,-1.3,-73.252,1.555,0.8,1.589,6.29,4.8,568.0,19.8,68.4,75.2,1.2,0.4,0.6,4.4,0.3,3.6,0.2,0.6,568.0,13.4,4.1,58.5,56.4,-4.8,118.6,0.0,5.1,11.1,7.45,54.3,-0.5,21.0,0.25,0.0,0.1,-0.75,1.156136
2021-09,8.3,5.3,59.9,61.7,109.3,99.1,14.9,1.8,1.8,235.0,0.4,-70.051,1.615,0.74,1.728,5.88,5.2,374.0,34.3,64.7,76.4,0.4,0.2,0.5,4.300000000000001,0.35,3.6,0.25,0.6,374.0,12.1,3.0,58.7,59.0,-4.0,117.8,3.1,7.7,13.4,7.5,56.1,-0.5,31.1,0.25,0.0,0.1,-0.75,1.16016
2021-08,7.8,5.4,59.5,64.1,113.8,100.1,15.8,-0.4,-0.1,943.0,0.9,-75.749,1.534,0.708,1.635,5.99,5.4,330.0,18.3,66.8,76.1,1.5,0.7,0.8,4.2,0.4,3.6,0.3,0.4,330.0,10.2,3.0,62.8,59.8,-5.3,117.5,5.0,9.7,12.4,7.7,59.5,-0.5,42.7,0.25,0.0,0.1,-0.75,1.17969
2021-07,7.3,5.4,60.6,60.1,129.1,99.7,18.0,1.3,0.8,850.0,0.4,-71.24,1.643,0.676,1.598,5.86,5.9,654.0,43.0,73.4,75.4,1.7,0.3,0.5,4.0,0.5,3.5,0.4,0.3,654.0,9.6,1.9,62.6,58.3,-4.4,119.0,9.0,20.5,9.4,7.9,60.6,-0.5,61.2,0.25,0.0,0.1,-0.75,1.18678
2021-06,6.6,5.0,61.2,64.0,127.3,102.5,28.1,-0.7,2.3,559.0,0.8,-68.899,1.572,0.769,1.681,5.8,5.8,978.0,17.4,66.1,75.2,-0.6,0.3,-0.2,3.9,0.4,3.4,0.5,0.5,978.0,7.6,1.9,63.1,58.0,-3.3,117.9,23.9,39.3,9.4,8.0,59.2,-0.5,81.3,0.25,0.0,0.1,-0.75,1.190193
2021-05,6.2,4.2,60.7,62.7,117.2,99.6,51.2,-0.8,-1.3,266.0,0.7,-74.448,1.569,0.863,1.76,5.85,6.1,742.0,24.3,75.2,74.9,1.1,1.0,0.3,3.6,0.6,3.1,0.7,0.7,742.0,4.3,1.6,62.8,55.1,-5.1,114.5,12.0,10.9,13.0,8.05,56.9,-0.5,84.0,0.25,0.0,0.1,-0.75,1.219007
2021-04,4.2,2.6,64.7,63.7,121.7,99.8,27.7,8.4,0.5,916.0,1.4,-71.078,1.739,1.021,1.766,6.01,6.0,629.5,26.3,72.1,74.4,-0.8,1.6,0.5,2.3,0.5,1.8,0.4,-0.1,629.5,1.5,1.6,63.3,49.6,-8.1,110.3,-2.9,-1.6,18.4,8.1,53.2,-0.5,66.3,0.25,0.0,0.1,-0.75,1.212709
2021-03,2.8,1.7,60.8,55.3,109.7,98.2,6.3,-2.7,-1.1,379.0,-2.2,-68.213,1.421,0.775,1.682,6.22,6.2,517.0,17.4,66.3,73.8,2.6,-0.9,0.3,1.6,0.2,1.4,0.1,0.2,517.0,0.0,1.3,62.4,45.7,-10.8,101.0,-6.4,0.1,24.2,8.1,48.8,-0.5,74.0,0.25,0.0,0.1,-0.75,1.17236
2021-02,1.7,1.4,58.7,58.7,91.3,95.8,7.4,5.9,3.4,49.0,0.9,-66.613,1.58,0.923,1.881,6.69,6.3,174.0,12.1,59.5,75.6,1.1,1.4,0.6,1.5,0.3,1.5,0.3,0.2,174.0,-1.1,0.9,54.8,45.4,-14.8,93.4,0.6,-0.8,27.5,8.3,48.1,-0.5,69.6,0.25,0.0,0.1,-0.75,1.207361
2021-01,0.8,1.4,60.7,57.2,89.3,95.0,2.9,-1.4,0.2,-140.0,1.6,-68.142,1.669,0.842,1.709,6.76,6.7,-123.0,3.5,63.8,74.5,1.0,0.7,0.5,1.3,0.4,1.5,0.3,0.8,-123.0,-1.9,-0.3,54.7,46.4,-15.5,91.5,-2.9,-0.6,25.1,8.3,47.5,-0.5,58.3,0.25,0.0,0.1,-0.75,1.2139
2020-12,0.8,1.2,57.5,55.9,88.6,102.7,4.1,-0.9,0.9,245.0,0.4,-63.123,1.547,0.841,1.639,6.69,6.7,307.0,4.9,59.5,73.3,1.0,0.4,0.7,1.1,0.0,1.4,0.0,0.3,307.0,-2.0,-0.3,55.5,47.3,-13.9,90.4,4.3,-3.8,25.9,8.4,49.8,-0.5,54.4,0.25,0.0,0.1,-0.75,1.22999
2020-11,0.5,1.2,59.3,56.6,96.1,101.4,5.7,0.2,1.3,638.0,1.1,-63.862,1.53,0.999,1.545,6.85,6.9,365.0,6.3,58.2,72.8,1.1,1.3,0.7,1.2,0.0,1.4,0.0,0.1,365.0,-2.4,-0.3,53.6,46.9,-17.6,87.6,2.2,-6.8,24.0,8.350000000000001,45.1,-0.5,32.8,0.25,0.0,0.1,-0.75,1.197146
2020-10,0.4,1.4,55.4,57.8,100.9,104.0,5.4,1.5,1.9,661.0,-0.6,-67.102,1.415,0.959,1.553,6.54,7.9,557.0,10.5,61.1,71.5,0.7,0.8,0.3,1.4,0.2,1.5,0.2,0.1,557.0,-2.5,-0.3,54.4,48.0,-15.5,90.9,3.7,-7.2,21.9,8.3,49.4,-0.5,52.3,0.25,0.0,0.1,-0.75,1.167679
2020-09,-0.2,1.3,56.0,56.9,101.8,104.0,2.6,0.7,0.4,1371.0,0.4,-63.556,1.416,1.011,1.47,6.0,8.4,749.0,17.0,62.4,71.4,6.4,0.4,0.1,1.2,0.25,1.4,0.25,0.4,749.0,-3.3,-0.2,51.7,50.5,-13.9,91.1,0.4,-7.7,20.3,7.9,50.1,-0.5,73.9,0.25,0.0,0.1,-0.75,1.174205
2020-08,-0.4,1.0,54.2,58.1,84.8,100.2,2.7,1.9,11.2,1763.0,3.0,-50.695,1.496,0.901,1.495,5.86,10.2,167.0,3.7,51.2,70.6,6.2,2.4,-1.1,1.0,0.3,1.3,0.3,0.2,167.0,-3.7,0.4,51.7,54.7,-14.7,87.7,1.3,-12.3,17.1,7.65,54.9,-0.5,64.0,0.25,0.0,0.1,-0.75,1.191824
2020-07,-0.8,0.6,52.6,57.1,92.6,98.8,1.1,7.3,7.3,4800.0,5.4,-54.601,1.186,0.776,1.241,4.72,11.1,2369.0,17.2,51.9,68.6,8.0,3.3,-2.3,0.8,0.4,0.9,0.2,-1.2,2369.0,-5.0,0.4,51.1,55.1,-15.0,82.3,-5.1,-20.9,8.0,7.4,54.8,-0.5,59.6,0.25,0.0,0.1,-0.75,1.187225
2020-06,-0.8,0.1,43.1,45.4,98.1,100.6,-6.1,12.4,15.8,2509.0,1.4,-49.408,0.974,0.676,1.22,3.91,13.3,-2760.0,-0.2,36.6,64.8,-13.0,4.0,-1.3,0.5,0.1,1.0,0.1,-1.0,-2760.0,-4.5,0.3,46.9,30.5,-14.7,75.7,-19.6,-28.0,1.2,7.3,47.5,-0.5,58.6,0.25,0.0,0.1,-0.75,1.12472
2020-05,-1.2,0.3,41.5,41.8,86.6,94.4,-21.6,-17.2,-17.2,-20500.0,-11.2,-44.415,0.891,0.623,1.074,4.33,14.7,-20236.0,-48.5,32.3,64.9,-10.3,-7.4,-0.2,0.5,-0.5,1.0,-0.4,4.7,-20236.0,-2.8,0.1,39.5,12.0,-18.8,67.5,-9.2,-12.9,23.5,7.3,30.5,-0.5,46.0,0.25,0.0,0.1,-0.75,1.111
2020-04,0.7,1.5,49.1,52.5,86.9,95.4,-6.2,-4.5,-14.4,-701.0,-5.4,-39.932,1.216,0.627,1.353,5.27,4.4,-27.0,-78.2,35.4,72.7,0.0,-0.2,-0.4,1.3,-0.3,1.7,-0.1,0.4,-27.0,-1.3,0.4,44.5,26.4,-22.7,67.0,3.0,-1.9,25.8,7.3,13.5,-0.5,25.2,0.25,0.0,0.1,-0.75,1.087725
2020-03,1.3,2.3,50.1,57.3,120.0,96.4,4.3,-0.4,1.2,273.0,0.6,-45.338,1.599,0.765,1.464,5.77,3.5,183.0,-21.5,47.8,77.0,-0.5,-0.6,-0.1,1.8,0.1,1.8,0.2,0.3,183.0,-0.5,1.2,44.8,52.6,-11.6,94.5,1.7,-1.9,17.3,7.4,31.4,-0.5,-49.5,0.25,0.0,0.25,-0.75,1.103047
2020-02,2.1,2.5,50.9,55.5,130.7,104.5,4.4,0.3,-0.2,225.0,-0.3,-48.88,1.567,0.764,1.551,5.46,3.6,291.0,12.9,49.0,76.8,1.8,0.9,0.1,1.7,0.1,1.6,0.1,0.2,291.0,-0.7,1.4,49.1,52.5,-6.6,103.5,1.3,-4.1,22.2,7.4,51.6,-0.5,10.4,0.25,0.0,0.25,-0.75,1.103
2020-01,1.3,2.3,47.2,55.0,131.6,104.3,5.8,0.7,2.4,145.0,-0.3,-43.086,1.608,0.694,1.416,5.54,3.5,202.0,4.8,42.9,77.0,-0.7,-0.1,-0.2,1.6,0.3,1.6,0.2,0.1,202.0,-1.4,1.4,47.8,52.2,-8.1,102.8,2.2,-1.5,19.2,7.4,50.9,-0.5,25.6,1.75,0.0,0.75,-0.75,1.102913
2019-12,1.1,2.1,48.1,53.9,126.5,104.4,3.3,0.1,-2.0,266.0,1.1,-47.199,1.365,0.719,1.482,5.35,3.5,67.0,3.5,48.9,77.3,0.3,0.0,0.2,1.5,0.2,1.6,0.1,0.2,67.0,-1.9,1.0,45.9,51.9,-8.1,101.5,1.4,-2.2,24.5,7.45,50.6,-0.5,11.2,1.75,0.0,0.75,-0.75,1.12023
2019-11,1.1,1.8,48.3,54.7,125.5,104.7,3.1,0.2,0.6,128.0,-0.8,-52.45,1.314,0.733,1.461,5.46,3.6,96.0,2.9,46.3,76.7,-0.6,0.6,0.0,1.3,0.2,1.6,0.1,0.2,96.0,-1.2,1.0,46.6,52.2,-7.2,101.3,3.1,-1.7,18.3,7.5,50.3,-0.5,-1.0,1.75,0.0,0.75,-0.75,1.102
2019-10,1.4,1.7,47.8,52.6,125.9,102.4,4.1,-0.1,-1.1,136.0,-0.4,-54.896,1.256,0.701,1.387,5.38,3.5,125.0,4.0,43.2,77.5,-0.1,-0.3,0.0,1.3,0.0,1.7,0.0,0.0,125.0,-0.8,0.8,45.7,51.6,-7.6,100.8,2.1,-2.8,20.3,7.5,50.2,-0.5,-23.5,1.75,0.0,0.75,-0.75,1.115449
2019-09,1.8,1.7,49.1,56.4,125.1,101.8,4.1,0.0,0.2,130.0,0.6,-53.989,1.364,0.713,1.419,5.49,3.7,195.0,2.0,47.1,77.9,1.4,0.5,0.4,1.4,0.0,1.8,0.1,0.4,195.0,0.2,1.0,47.0,53.5,-6.5,101.7,2.2,-2.0,19.0,7.4,50.4,-0.5,-22.4,2.0,0.0,0.75,-0.75,1.094271
2019-08,1.7,1.8,51.2,53.7,135.1,103.1,3.4,1.0,2.1,164.0,-0.2,-55.154,1.191,0.635,1.336,5.42,3.7,148.5,4.8,50.4,77.5,0.6,-0.4,0.0,1.4,0.2,1.6,0.2,0.3,148.5,0.7,1.0,47.0,53.4,-7.1,103.1,2.6,-2.6,17.9,7.5,51.8,-0.45,-43.6,2.0,0.0,0.75,-0.75,1.1012
2019-07,1.7,1.6,51.7,55.1,135.7,104.7,3.4,0.4,2.0,224.0,0.0,-55.52,1.253,0.646,1.22,5.27,3.7,102.0,4.3,44.4,77.9,-0.7,1.2,0.3,1.4,0.1,1.6,0.2,0.2,102.0,1.6,1.1,46.4,53.6,-6.6,102.7,1.3,-0.5,20.2,7.5,51.5,-0.4,-20.3,2.25,0.0,0.75,-0.75,1.115797
2019-06,1.8,1.8,52.1,56.9,121.5,103.3,3.2,0.5,-1.3,75.0,0.4,-50.791,1.269,0.626,1.294,5.34,3.6,27.0,-8.6,49.7,78.1,-0.8,0.3,0.5,1.5,0.2,1.6,0.2,0.2,27.0,2.6,1.2,47.8,52.9,-7.2,103.3,1.5,-0.4,15.3,7.6,52.1,-0.4,-20.2,2.5,0.0,0.75,-0.75,1.139095
2019-05,2.2,2.0,52.8,55.5,134.1,105.0,3.1,0.1,-2.1,263.0,-0.5,-50.002,1.235,0.673,1.296,5.19,3.6,275.0,17.8,54.2,77.9,1.9,0.0,0.0,1.5,0.3,1.6,0.2,0.2,275.0,2.9,1.7,47.7,52.8,-6.5,105.1,1.9,-0.6,17.9,7.65,51.5,-0.4,-1.6,2.5,0.0,0.75,-0.75,1.113115
2019-04,2.2,1.9,55.3,56.1,129.2,103.5,3.6,1.2,2.7,196.0,-0.1,-49.382,1.139,0.692,1.269,5.21,3.8,129.0,10.1,52.6,78.8,-0.5,0.4,0.3,1.5,0.2,1.6,0.0,0.1,129.0,3.0,1.4,47.5,53.3,-7.9,104.0,2.8,-0.3,19.5,7.7,51.3,-0.4,4.5,2.5,0.0,0.75,-0.75,1.118518
2019-03,1.9,1.5,54.2,59.7,124.1,101.8,2.3,0.9,0.4,20.0,0.1,-51.149,1.162,0.667,1.296,5.51,3.8,183.0,3.7,58.7,78.2,0.1,-0.1,0.6,1.7,-0.1,1.8,0.1,0.4,183.0,3.0,1.5,47.6,52.7,-7.2,105.5,2.2,-1.1,17.0,7.8,51.3,-0.4,-2.5,2.5,0.0,0.75,-0.75,1.123305
